Cause	Effect	Regulators	Mediators
b0080	b0959		b3357
b0080	b3375		b3357
b0080	b3374		b3357
b0080	b4474		b3357
b0080	b3371		b3357
b0080	b3370		b3357
b0080	b2155		b3357
b0080	b4299		b3357
b0080	b4298		b3357
b0080	b4297		b3357
b0080	b4764		b3357
b0080	b0721		b3357
b0080	b0726		b3357
b0080	b0727		b3357
b0080	b0728		b3357
b0080	b0729		b3357
b0080	b1612		b3357
b0080	b3528		b3357
b0080	b2761		b3357
b0080	b4138		b3357
b0080	b4139		b3357
b0080	b1438		b3357
b0080	b4532		b3357
b0080	b1339		b3357
b0080	b4305		b3357
b0080	b4565		b3357
b0080	b4304		b3357
b0080	b4303		b3357
b0080	b4302		b3357
b0080	b4301		b3357
b0080	b4300		b3357
b0080	b1445		b3357
b0080	b2774		b3357
b0080	b2870		b3357
b0080	b1420		b3357
b0080	b0651		b3357
b0080	b2166		b3357
b0080	b2165		b3357
b0080	b0328		b3357
b0080	b2844		b3357
b0080	b1581		b3357
b0080	b1580		b3357
b0080	b4479		b3357
b0080	b3693		b3357
b0080	b4477		b3357
b0080	b4478		b3357
b0080	b3691		b3357
b0080	b4031		b3357
b0080	b3884		b3357
b0080	b4358		b3357
b0080	b4357		b3357
b0080	b3094		b3357
b0080	b4725		b3357
b0080	b2570		b3357
b0080	b2571		b3357
b0080	b2572		b3357
b0080	b2573		b3357
b0080	b1256		b3357
b0080	b4457		b3357
b0080	b3609		b3357
b0080	b3608		b3357
b0080	b3403		b3357
b0080	NIL		b3357
b0080	b0682		b3357
b0080	b0681		b3357
b0080	b2760		b3357
b0080	b2759		b3357
b0080	b2758		b3357
b0080	b2757		b3357
b0080	b2756		b3357
b0080	b2755		b3357
b0080	b2754		b3357
b0080	b0880		b3357
b0080	b1385		b3357
b0080	b4200		b3357
b0080	b4201		b3357
b0080	b4202		b3357
b0080	b4203		b3357
b0080	b3230		b3357
b0080	b3231		b3357
b0080	b4805		b3357
b0080	b2597		b3357
b0080	b0953		b3357
b0080	b1302		b3357
b0080	b1301		b3357
b0080	b1300		b3357
b0080	b1299		b3357
b0080	b1298		b3357
b0080	b1036		b3357
b0080	b1611		b3357
b0080	b4354		b3357
b0080	b1613		b3357
b0080	b4426		b3357
b0080	b2903		b3357
b0080	b2904		b3357
b0080	b2905		b3357
b0080	b0613		b3357
b0080	b0614		b3357
b0080	b0615		b3357
b0080	b0616		b3357
b0080	b0617		b3357
b0080	b0618		b3357
b0080	b0620		b3357
b0080	b0619		b3357
b0080	b2584		b3357
b0080	b0623		b3357
b0080	b4175		b3357
b0080	b4174		b3357
b0080	b4173		b3357
b0080	b4172		b3357
b0080	b2468		b3357
b0080	b2469		b3357
b0080	b0110		b3357
b0080	b0111		b3357
b0080	b1112		b3357
b0080	b0820		b3357
b0080	b4406		b3357
b0080	b0189		b3357
b0080	b4502		b3357
b0080	b0819		b3357
b0080	b3243		b3357
b0080	b3242		b3357
b0080	b3241		b3357
b0080	b3240		b3357
b0080	b2171		b3357
b0080	b1111		b3357
b0080	b0192		b3357
b0080	b0191		b3357
b0080	b0190		b3357
b0080	b0109		b3357
b0080	b0345		b3357
b0080	b0346		b3357
b0080	b1521		b3357
b0080	b3081		b3357
b0080	b4671		b3357
b0080	b4663		b3357
b0080	b1421		b3357
b0080	b2715		b3357
b0080	b2716		b3357
b0080	b3395		b3357
b0080	b3394		b3357
b0080	b3393		b3357
b0080	b3392		b3357
b0080	b0108		b3357
b0080	b0107		b3357
b0080	b0106		b3357
b0080	b2429		b3357
b0080	b2428		b3357
b0080	b2009		b3357
b0080	b1511		b3357
b0080	b1512		b3357
b0080	b4438		b3357
b0080	b2147		b3357
b0080	b2146		b3357
b0080	b0145		b3357
b0080	b0146		b3357
b0080	b4124		b3357
b0080	b1205		b3357
b0080	b3072		b3357
b0080	b1272		b3357
b0080	b2579		b3357
b0080	b1101		b3357
b0080	b4233		b3357
b0080	b1761		b3357
b0080	b1656		b3357
b0080	b3221		b3357
b0080	b3222		b3357
b0080	b3223		b3357
b0080	b3224		b3357
b0080	b3225		b3357
b0080	b0124		b3357
b0080	b0125		b3357
b0080	b2942		b3357
b0080	b0805		b3357
b0080	b0351		b3357
b0080	b0352		b3357
b0080	b0350		b3357
b0080	b0349		b3357
b0080	b0348		b3357
b0080	b0347		b3357
b0080	b2913		b3357
b0080	b3781		b3357
b0080	b0335		b3357
b0080	b0334		b3357
b0080	b0333		b3357
b0080	b0331		b3357
b0080	b2663		b3357
b0080	b2662		b3357
b0080	b2661		b3357
b0080	b2660		b3357
b0080	b2659		b3357
b0080	b4067		b3357
b0080	b4068		b3357
b0080	b4069		b3357
b0080	b0679		b3357
b0080	b3721		b3357
b0080	b3722		b3357
b0080	b3723		b3357
b0080	b4264		b3357
b0080	b4265		b3357
b0080	b4266		b3357
b0080	b4267		b3357
b0080	b4268		b3357
b0080	b3091		b3357
b0080	b3092		b3357
b0080	b3414		b3357
b0080	b3413		b3357
b0080	b4321		b3357
b0080	b1779		b3357
b0080	b4198		b3357
b0080	b4197		b3357
b0080	b4196		b3357
b0080	b4195		b3357
b0080	b4194		b3357
b0080	b4193		b3357
b0080	b1615		b3357
b0080	b1616		b3357
b0080	b1617		b3357
b0080	b4324		b3357
b0080	b4718		b3357
b0080	b3514		b3357
b0080	b3513		b3357
b0080	b3512		b3357
b0080	b3172		b3357
b0080	b4309		b3357
b0080	b4310		b3357
b0080	b4311		b3357
b0080	b0598		b3357
b0080	b2943		b3357
b0080	b0330	b0399	b3357
b0080	b1002		b3357
b0080	b2980		b3357
b0080	b2143		b3357
b0080	b1415		b3357
b0080	b3902		b3357
b0080	b3903		b3357
b0080	b3904		b3357
b0080	b4239		b3357
b0080	b4240		b3357
b0080	b2507		b3357
b0080	b2508		b3357
b0080	b1530		b3357
b0080	b1531		b3357
b0080	b1532		b3357
b0080	b3415		b3357
b0080	b0411		b3357
b0080	b3588		b3357
b0080	b3666		b3357
b0080	NIL		b3357
b0080	b1805		b3357
b0080	b3135		b3357
b0080	b3134		b3357
b0080	b3133		b3357
b0080	b3132		b3357
b0080	b3236		b3357
b0080	b0720		b3357
b0080	b0428		b3357
b0080	b0429		b3357
b0080	b0430		b3357
b0080	b0431		b3357
b0080	b0432		b3357
b0080	b0583		b3357
b0080	b0584		b3357
b0080	b2393		b3357
b0080	b3076		b3357
b0080	b3077		b3357
b0080	b3093		b3357
b0080	b3925		b3357
b0080	b3926		b3357
b0080	b3927		b3357
b0080	b2091		b3357
b0080	b2092		b3357
b0080	b2093		b3357
b0080	b2094		b3357
b0080	b2095		b3357
b0080	b2096		b3357
b0080	b1817		b3357
b0080	b1818		b3357
b0080	b1819		b3357
b0080	b0931		b3357
b0080	b3599		b3357
b0080	b3600		b3357
b0080	b3601		b3357
b0080	b2231		b3357
b0080	b4119		b3357
b0080	b4120		b3357
b0080	b2232		b3357
b0080	b4471		b3357
b0080	b3113		b3357
b0080	b3114		b3357
b0080	b3115		b3357
b0080	b3116		b3357
b0080	b3117		b3357
b0080	b3118		b3357
b0080	b2964		b3357
b0080	b0035		b3357
b0080	b0036		b3357
b0080	b0037		b3357
b0080	b0038		b3357
b0080	b0039		b3357
b0080	b0040		b3357
b0080	b2925		b3357
b0080	b2926		b3357
b0080	b2927		b3357
b0080	b2741		b3357
b0080	b2965		b3357
b0080	b1621		b3357
b0080	b1622		b3357
b0080	b2801		b3357
b0080	b2802		b3357
b0080	b2803		b3357
b0080	b2804		b3357
b0080	b2805		b3357
b0080	b3571		b3357
b0080	b1891		b3357
b0080	b1892		b3357
b0080	b2799		b3357
b0080	b2800		b3357
b0080	b3831		b3357
b0080	b2702		b3357
b0080	b2703		b3357
b0080	b2704		b3357
b0080	b2705		b3357
b0080	b2706		b3357
b0080	b2707		b3357
b0080	b2708		b3357
b0080	b2840		b3357
b0080	b2841		b3357
b0080	b2957		b3357
b0080	b3908		b3357
b0080	b3905		b3357
b0080	b3906		b3357
b0080	b0396		b3357
b0080	b4460		b3357
b0080	b1900		b3357
b0080	b1901		b3357
b0080	b3418		b3357
b0080	b3707		b3357
b0080	b3708		b3357
b0080	b3709		b3357
b0080	b3461		b3357
b0080	b3428		b3357
b0080	b3429		b3357
b0080	b3430		b3357
b0080	b4213		b3357
b0080	b4376		b3357
b0080	b4030	b0399	b3357
b0080	b0593		b3357
b0080	b0594		b3357
b0080	b0595		b3357
b0080	b0596		b3357
b0080	b0597		b3357
b0080	b2148		b3357
b0080	b2149		b3357
b0080	b2150		b3357
b0080	b3907		b3357
b0080	b3753		b3357
b0080	b3748		b3357
b0080	b3749		b3357
b0080	b3750		b3357
b0080	b3751		b3357
b0080	b3752		b3357
b0080	b1037		b3357
b0080	b1038		b3357
b0080	b1039		b3357
b0080	b1040		b3357
b0080	b3363		b3357
b0080	b4111		b3357
b0080	b4287		b3357
b0080	b4288		b3357
b0080	b4289		b3357
b0080	b4290		b3357
b0080	b4291		b3357
b0080	b1519		b3357
b0080	b1518		b3357
b0080	b1517		b3357
b0080	b1516		b3357
b0080	b1515		b3357
b0080	b1514		b3357
b0080	b1513		b3357
b0080	b2365		b3357
b0080	b2366		b3357
b0080	b3356		b3357
b0080	b4476		b3357
b0080	b3437		b3357
b0080	b3049		b3357
b0080	b1620		b3357
b0080	b3212		b3357
b0080	b3213		b3357
b0080	b3214		b3357
b0080	b0683		b3357
b0080	b3934		b3357
b0080	b3449	b0399	b3357
b0080	b3450	b0399	b3357
b0080	b3451	b0399	b3357
b0080	b3452	b0399	b3357
b0080	b3453	b0399	b3357
b0080	b2415		b3357
b0080	b2416		b3357
b0080	b2417		b3357
b0080	b0903		b3357
b0080	b0904		b3357
b0080	b0724		b3357
b0080	b0723		b3357
b0080	b0722		b3357
b0080	b0044		b3357
b0080	b0043		b3357
b0080	b0042		b3357
b0080	b0041		b3357
b0080	b0034		b3357
b0080	b2535		b3357
b0080	b0113		b3357
b0080	b0114		b3357
b0080	b0115		b3357
b0080	b0116		b3357
b0080	b0763		b3357
b0080	b0764		b3357
b0080	b0765		b3357
b0080	b1733		b3357
b0080	b1734		b3357
b0080	b1735		b3357
b0080	b1736		b3357
b0080	b1737		b3357
b0080	b1738		b3357
b0080	b3404		b3357
b0080	b3405		b3357
b0080	b1387		b3357
b0080	b1398		b3357
b0080	b1397		b3357
b0080	b1396		b3357
b0080	b1395		b3357
b0080	b1394		b3357
b0080	b1393		b3357
b0080	b1392		b3357
b0080	b1391		b3357
b0080	b1390		b3357
b0080	b1389		b3357
b0080	b1388		b3357
b0080	b2614		b3357
b0080	b0553		b3357
b0080	b3566		b3357
b0080	b3567		b3357
b0080	b3568		b3357
b0080	b3569		b3357
b0080	b3564		b3357
b0080	b3565		b3357
b0080	b4000		b3357
b0080	b1190		b3357
b0080	b1189		b3357
b0080	b3423		b3357
b0080	b3424		b3357
b0080	b3425		b3357
b0080	b3516	b0399	b3357
b0080	b3517		b3357
b0080	b1492		b3357
b0080	b1493		b3357
b0080	b3574		b3357
b0080	b4323		b3357
b0080	b4322		b3357
b0080	b1384	b0399	b3357
b0080	b2509		b3357
b0080	b0440		b3357
b0080	b1182		b3357
b0080	b0118		b3357
b0080	b1276		b3357
b0080	b4122		b3357
b0080	b4123		b3357
b0080	b3577		b3357
b0080	b3583		b3357
b0080	b3582		b3357
b0080	b3581		b3357
b0080	b3580		b3357
b0080	b3579		b3357
b0080	b3578		b3357
b0080	b3576		b3357
b0080	b3575		b3357
b0080	b1015		b3357
b0080	b2492		b3357
b0080	b2491		b3357
b0080	b2490		b3357
b0080	b2489		b3357
b0080	b2488		b3357
b0080	b2487		b3357
b0080	b2486		b3357
b0080	b2485		b3357
b0080	b2484		b3357
b0080	b2483		b3357
b0080	b2482		b3357
b0080	b2481		b3357
b0080	b3864		b3357
b0080	b3164		b3357
b0080	b3165		b3357
b0080	b3166		b3357
b0080	b3167		b3357
b0080	b3168		b3357
b0080	b3169		b3357
b0080	b3170		b3357
b0080	b3171		b3357
b0080	b1593		b3357
b0080	b1594		b3357
b0080	b4004		b3357
b0080	b4003		b3357
b0080	b0907		b3357
b0080	b0908		b3357
b0080	b4381		b3357
b0080	b4382		b3357
b0080	b4383		b3357
b0080	b4384		b3357
b0080	b3806		b3357
b0080	b0064		b3357
b0080	b0061		b3357
b0080	b0062		b3357
b0080	b0063		b3357
b0080	b4014		b3357
b0080	b4015		b3357
b0080	b4016		b3357
b0080	b4035		b3357
b0080	b4036		b3357
b0080	b4037		b3357
b0080	NIL		b3357
b0080	b4032		b3357
b0080	b4033		b3357
b0080	b4034		b3357
b0080	b0342		b3357
b0080	b0343		b3357
b0080	b0344		b3357
b0080	b3670		b3357
b0080	b3671		b3357
b0080	b3672		b3357
b0080	b2239		b3357
b0080	b2240		b3357
b0080	b3426		b3357
b0080	b2241		b3357
b0080	b2242		b3357
b0080	b2243		b3357
b0080	b3868		b3357
b0080	b3869		b3357
b0080	b3870		b3357
b0080	b0756		b3357
b0080	b0757		b3357
b0080	b0758		b3357
b0080	b0759		b3357
b0080	b2151		b3357
b0080	b3260		b3357
b0080	b3261		b3357
b0080	b2782		b3357
b0080	b2783		b3357
b0080	b2784		b3357
b0080	b3961		b3357
b0080	b0929	b0399	b3357
b0080	b0957		b3357
b0080	b2236		b3357
b0080	b2234		b3357
b0080	b2235		b3357
b0080	b3365		b3357
b0080	b3366		b3357
b0080	b3367		b3357
b0080	b3368		b3357
b0080	b0675		b3357
b0080	b0676		b3357
b0080	b0677		b3357
b0080	b0678		b3357
b0080	b4118		b3357
b0080	b2344		b3357
b0080	b1920		b1040
b0080	b1921		b1040
b0080	b1922		b1040
b0080	b1070		b1040
b0080	b1071		b1040
b0080	b1004		b1040
b0080	b1003		b1040
b0080	b3661		b1040
b0080	b0964		b1040
b0080	b1937		b1040
b0080	b1943		b1040
b0080	b1942		b1040
b0080	b1941		b1040
b0080	b1940		b1040
b0080	b1939		b1040
b0080	b1938		b1040
b0080	b3156		b1040
b0080	b3157		b1040
b0080	b0382		b1040
b0080	b0385		b1040
b0080	b0237		b1040
b0080	b1037		b1040
b0080	b1038		b1040
b0080	b1039		b1040
b0080	b1043		b1040
b0080	b1041		b1040
b0080	b1042		b1040
b0080	b0314		b0313
b0080	b0311		b0313
b0080	b0312		b0313
b0080	b2975		b2980
b0080	b2976		b2980
b0080	b2977		b2980
b0080	b4467		b2980
b0080	b4468		b2980
b0080	b2979		b2980
b0080	b1531		b1530
b0080	b1532		b1530
b0080	b1167		b1531
b0080	b1166		b1531
b0080	b1165		b1531
b0080	b1164		b1531
b0080	b0342		b1531
b0080	b0343		b1531
b0080	b0344		b1531
b0080	b2509		b1531
b0080	b3195		b1531
b0080	b3194		b1531
b0080	b3193		b1531
b0080	b3192		b1531
b0080	b3191		b1531
b0080	b1415		b1531
b0080	b3160		b1531
b0080	b3028		b1531
b0080	b0168		b1531
b0080	b0167		b1531
b0080	b0166		b1531
b0080	b0762		b1531
b0080	b1452		b1531
b0080	b1276		b1531
b0080	b0853		b1531
b0080	b0852		b1531
b0080	b0851		b1531
b0080	b0850		b1531
b0080	b3624		b1531
b0080	b3625		b1531
b0080	b0447		b1531
b0080	b3038		b1531
b0080	b3037		b1531
b0080	b3035		b1531
b0080	b2237		b1531
b0080	b0578		b1531
b0080	b4177		b1531
b0080	b4396		b1531
b0080	b1852		b1531
b0080	b1530		b1531
b0080	b1532		b1531
b0080	b1611		b1531
b0080	b3908		b1531
b0080	b3507		b1531
b0080	b3506		b1531
b0080	b4439		b1531
b0080	b2159		b1531
b0080	b3924		b1531
b0080	b0952		b1531
b0080	b0951		b1531
b0080	b0950		b1531
b0080	b1014		b1531
b0080	b0871		b1531
b0080	b0463		b1531
b0080	b0462		b1531
b0080	b3508		b1531
b0080	b3509		b1531
b0080	b3510		b1531
b0080	b0096		b0113
b0080	b0095		b0113
b0080	b0094		b0113
b0080	b0093		b0113
b0080	b0092		b0113
b0080	b0091		b0113
b0080	b0090		b0113
b0080	b0089		b0113
b0080	b0088		b0113
b0080	b0087		b0113
b0080	b0086		b0113
b0080	b0085		b0113
b0080	b0084		b0113
b0080	b0083		b0113
b0080	b0082		b0113
b0080	b0081		b0113
b0080	b2975		b0113
b0080	b2976		b0113
b0080	b2977		b0113
b0080	b4467		b0113
b0080	b4468		b0113
b0080	b2979		b0113
b0080	b0154		b0113
b0080	b0461		b0113
b0080	b0460		b0113
b0080	b0428		b0113
b0080	b0429		b0113
b0080	b0430		b0113
b0080	b0431		b0113
b0080	b0432		b0113
b0080	b1109		b0113
b0080	b2579		b0113
b0080	b4287		b0113
b0080	b4288		b0113
b0080	b4289		b0113
b0080	b4290		b0113
b0080	b4291		b0113
b0080	b0114		b0113
b0080	b0115		b0113
b0080	b0116		b0113
b0080	b1943		b0315
b0080	b1942		b0315
b0080	b1941		b0315
b0080	b1940		b0315
b0080	b1939		b0315
b0080	b1938		b0315
b0080	b4466		b0315
