R	U	V	W	X	Y
b0399	b3868	b1334	b1988	b0080	b0734
b0399	b3868	b1334	b1988	b0080	b0733
b0399	b3868	b1334	b1988	b0080	b0871
b0399	b3868	b0683 // b1334	b1988	b0080	b1852
b0399	b3868	b0683 // b1334	b1988	b0080	b0428
b0399	b3868	b0683 // b1334	b1988	b0080	b0429
b0399	b3868	b0683 // b1334	b1988	b0080	b0430
b0399	b3868	b0683 // b1334	b1988	b0080	b0431
b0399	b3868	b0683 // b1334	b1988	b0080	b0432
b0399	b3868	b1334	b1988	b0080	b0113
b0399	b3868	b1334	b1988	b0080	b0114
b0399	b3868	b1334	b1988	b0080	b0115
b0399	b3868	b0683 // b1334	b1988	b0080	b0116
b0399	b3868	b1334	b1988	b0080	b0112
b0399	b3868	b0889	b1988	b0080	b2779
b0399	b3868	b0889	b1988	b0080	b1702
b0399	b3868	b1334	b1988	b0080	b1276
b0399	b3868	b0889 // b1334	b1988	b0080	b1241
b0399	b3868	b0889	b1988	b0080	b4014
b0399	b3868	b1334	b1988	b0080	b3365
b0399	b3868	b1334	b1988	b0080	b3366
b0399	b3868	b1334	b1988	b0080	b3367
b0399	b3868	b1334	b1988	b0080	b3368
b0399	b0889	b1334	b1988	b0080	b0734
b0399	b0889	b1334	b1988	b0080	b0733
b0399	b0889	b1334	b1988	b0080	b0871
b0399	b0889	b0683 // b1334	b1988	b0080	b1852
b0399	b0889	b0683 // b1334	b1988	b0080	b0428
b0399	b0889	b0683 // b1334	b1988	b0080	b0429
b0399	b0889	b0683 // b1334	b1988	b0080	b0430
b0399	b0889	b0683 // b1334	b1988	b0080	b0431
b0399	b0889	b0683 // b1334	b1988	b0080	b0432
b0399	b0889	b1334	b1988	b0080	b0113
b0399	b0889	b1334	b1988	b0080	b0114
b0399	b0889	b1334	b1988	b0080	b0115
b0399	b0889	b0683 // b1334	b1988	b0080	b0116
b0399	b0889	b1334	b1988	b0080	b0112
b0399	b0889	b1334	b1988	b0080	b1276
b0399	b0889	b1334	b1988	b0080	b3365
b0399	b0889	b1334	b1988	b0080	b3366
b0399	b0889	b1334	b1988	b0080	b3367
b0399	b0889	b1334	b1988	b0080	b3368
b0399	b0683	b0889	b1988	b0080	b2779
b0399	b0683	b0889	b1988	b0080	b1702
b0399	b0683	b0889	b1988	b0080	b1241
b0399	b0683	b0889	b1988	b0080	b4014
b0399	b1334	b0889	b1988	b0080	b2779
b0399	b1334	b0889	b1988	b0080	b1702
b0399	b1334	b0889	b1988	b0080	b4014
