Cause	Effect	Regulators	Mediators
b3357	b3374		b3375
b3357	b4474		b3375
b3357	b3371		b3375
b3357	b3370		b3375
b3357	b4532		b1438
b3357	b3693		b4479
b3357	b4477		b4479
b3357	b4478		b4479
b3357	b3691		b4479
b3357	b3880		b3884
b3357	b3881		b3884
b3357	b3882		b3884
b3357	b3883		b3884
b3357	b1521		b3094
b3357	b3091		b3094
b3357	b3092		b3094
b3357	b4324		b3094
b3357	b3093		b3094
b3357	b4323		b3094
b3357	b4322		b3094
b3357	b4358		b3094
b3357	b4357		b3094
b3357	b4201		b4200
b3357	b4202		b4200
b3357	b4203		b4200
b3357	b4200		b4202
b3357	b4201		b4202
b3357	b4203		b4202
b3357	b3230		b3231
b3357	b4742		b1299
b3357	b1296		b1299
b3357	b1297		b1299
b3357	b1302		b1299
b3357	b1301		b1299
b3357	b1300		b1299
b3357	b1298		b1299
b3357	b0564		b0620
b3357	b3236		b0620
b3357	b3093		b0620
b3357	b0619		b0620
b3357	b0618		b0620
b3357	b0617		b0620
b3357	b0616		b0620
b3357	b0615		b0620
b3357	b0614		b0620
b3357	b0613		b0620
b3357	b1817	b0080	b4172
b3357	b2733		b4172
b3357	b2155		b4172
b3357	b1112		b1111
b3357	b0342		b0345
b3357	b0343		b0345
b3357	b0344		b0345
b3357	b0351		b0346
b3357	b0352		b0346
b3357	b0350		b0346
b3357	b0349		b0346
b3357	b0348		b0346
b3357	b0347		b0346
b3357	b1511		b1512
b3357	b1519		b1512
b3357	b1518		b1512
b3357	b1517		b1512
b3357	b1516		b1512
b3357	b1515		b1512
b3357	b1514		b1512
b3357	b1513		b1512
b3357	b4435		b0145
b3357	b2000		b0145
b3357	b4662	b0080	b0145
b3357	b0070	b0080	b0145
b3357	b4577	b0080	b0145
b3357	b2552		b0145
b3357	b0069		b0145
b3357	b4762		b0145
b3357	b0068		b0145
b3357	b0067		b0145
b3357	b0066		b0145
b3357	b2696		b0145
b3357	b2465		b0145
b3357	b2464		b0145
b3357	b4722		b0145
b3357	b4721		b0145
b3357	b4720		b0145
b3357	b4326		b0145
b3357	b1182	b3261	b0145
b3357	b2573		b0145
b3357	b2741		b0145
b3357	b1954		b0145
b3357	b0382		b0145
b3357	b3796	b3261	b0145
b3357	b3797	b3261	b0145
b3357	b3798	b3261	b0145
b3357	b3799	b3261	b0145
b3357	b4417		b0145
b3357	b2570		b0145
b3357	b2571		b0145
b3357	b2572		b0145
b3357	b4457		b0145
b3357	b4408		b0145
b3357	b4312		b0145
b3357	b3183		b0145
b3357	b3184		b0145
b3357	b3185		b0145
b3357	b3186		b0145
b3357	b3635		b0145
b3357	b3636		b0145
b3357	b3637		b0145
b3357	b3230	b3261	b0145
b3357	b3231	b3261	b0145
b3357	b2185		b0145
b3357	b1187		b0145
b3357	b1091		b0145
b3357	b1092		b0145
b3357	b1093		b0145
b3357	b2018		b0145
b3357	b2019		b0145
b3357	b2020		b0145
b3357	b2021		b0145
b3357	b2022		b0145
b3357	b2023		b0145
b3357	b2024		b0145
b3357	b2025		b0145
b3357	b2026		b0145
b3357	b0001		b0145
b3357	b0002		b0145
b3357	b0003		b0145
b3357	b0004		b0145
b3357	b3971	b3261	b0145
b3357	b3970	b3261	b0145
b3357	b3969	b3261	b0145
b3357	b3968	b3261	b0145
b3357	b0205	b3261	b0145
b3357	b0204	b3261	b0145
b3357	b0203	b3261	b0145
b3357	b0202	b3261	b0145
b3357	b0201	b3261	b0145
b3357	b2588	b3261	b0145
b3357	b2589	b3261	b0145
b3357	b2590	b3261	b0145
b3357	b2591	b3261	b0145
b3357	b4010	b3261	b0145
b3357	b4009	b3261	b0145
b3357	b4008	b3261	b0145
b3357	b4007	b3261	b0145
b3357	b3272	b3261	b0145
b3357	b3273	b3261	b0145
b3357	b3274	b3261	b0145
b3357	b3275	b3261	b0145
b3357	b3276	b3261	b0145
b3357	b3277	b3261	b0145
b3357	b3278	b3261	b0145
b3357	b3759	b3261	b0145
b3357	b3758	b3261	b0145
b3357	b3757	b3261	b0145
b3357	b3756	b3261	b0145
b3357	b3065		b0145
b3357	b3066		b0145
b3357	b3067		b0145
b3357	b3649		b0145
b3357	b3650		b0145
b3357	b3651		b0145
b3357	b3652		b0145
b3357	b1712		b0145
b3357	b1713		b0145
b3357	b1714		b0145
b3357	b1715		b0145
b3357	b1716		b0145
b3357	b1717		b0145
b3357	b1718		b0145
b3357	b1719		b0145
b3357	b0023		b0145
b3357	b2606		b0145
b3357	b2607		b0145
b3357	b2608		b0145
b3357	b2609		b0145
b3357	b0912		b0145
b3357	b0911		b0145
b3357	b3339		b0145
