Cause	Effect	Regulators	Mediators
b3512	b1492	b3357 // b1921	b3515
b3512	b1493	b3357 // b1921	b3515
b3512	b3508	b1921	b3515
b3512	b3509	b1921	b3515
b3512	b3510	b1921	b3515
b3512	b3507		b3515
b3512	b3506		b3515
b3512	b4452		b3515
b3512	b4718	b3357 // b1921 // b2369 // b4401 // b4704	b3515
b3512	b3514	b3357 // b1921 // b2369	b3515
b3512	b3513	b3357 // b1921 // b1988 // b2369	b3515
b3512	b3516	b3357 // b1988 // b4401	b3515
b3512	b3517	b3357 // b4401	b3515
b3512	b2058		b1951
b3512	b2059		b1951
b3512	b2060		b1951
b3512	b2061		b1951
b3512	b2062		b1951
b3512	b1891	b3357 // b1921	b1951
b3512	b1892	b3357 // b1921	b1951
b3512	b1037	b3357 // b1921	b1951
b3512	b1038	b3357 // b1921	b1951
b3512	b1039	b3357 // b1921	b1951
b3512	b1040	b3357 // b1921	b1951
b3512	b4029		b1951
b3512	b4028		b1951
b3512	b4027		b1951
b3512	b4026		b1951
b3512	b3292		b0889
b3512	b0752		b0889
b3512	b2412		b0889
b3512	b4387		b0889
b3512	b4216		b0889
b3512	b4206		b0889
b3512	b2845		b0889
b3512	b4640		b0889
b3512	b1957		b0889
b3512	b1811		b0889
b3512	b1760		b0889
b3512	b0306		b0889
b3512	b4334		b0889
b3512	b4190		b0889
b3512	b4141		b0889
b3512	b4057		b0889
b3512	b3910		b0889
b3512	b3655		b0889
b3512	b4554		b0889
b3512	b3602		b0889
b3512	b3555		b0889
b3512	b3535		b0889
b3512	b3527		b0889
b3512	b3491		b0889
b3512	b3448		b0889
b3512	b3268		b0889
b3512	b3267		b0889
b3512	b3293		b0889
b3512	b3238		b0889
b3512	b3180		b0889
b3512	b3024		b0889
b3512	b3023		b0889
b3512	b2605		b0889
b3512	b2225		b0889
b3512	b2013		b0889
b3512	b1847		b0889
b3512	b1783		b0889
b3512	b1781		b0889
b3512	b1664		b0889
b3512	b1604		b0889
b3512	b1498	b3516	b0889
b3512	b1534		b0889
b3512	b1431		b0889
b3512	b1428		b0889
b3512	b4596		b0889
b3512	b1284		b0889
b3512	b1242		b0889
b3512	b1188		b0889
b3512	b1110		b0889
b3512	b1063		b0889
b3512	b1055		b0889
b3512	b0877		b0889
b3512	b0853		b0889
b3512	b0820	b3357	b0889
b3512	b0808		b0889
b3512	b0803		b0889
b3512	b0791		b0889
b3512	b0707		b0889
b3512	b0658		b0889
b3512	b0600		b0889
b3512	b0577		b0889
b3512	b0579		b0889
b3512	b0379		b0889
b3512	b0287		b0889
b3512	b0190	b3357	b0889
b3512	b0119		b0889
b3512	b0057		b0889
b3512	b0005		b0889
b3512	b3786		b0889
b3512	b2498		b0889
b3512	b4040	b4401	b0889
b3512	b0888		b0889
b3512	b1197		b0889
b3512	b1274		b0889
b3512	b3994	b4401	b0889
b3512	b0958		b0889
b3512	b3962	b4401	b0889
b3512	b3089	b4401	b0889
b3512	b4691		b0889
b3512	b4062		b0889
b3512	b3348		b0889
b3512	b1642		b0889
b3512	b0893		b0889
b3512	b1525		b0889
b3512	b2572	b3357	b0889
b3512	b3995	b4401	b0889
b3512	b3306		b0889
b3512	b3202		b0889
b3512	b3304		b0889
b3512	b3305		b0889
b3512	b4090		b0889
b3512	b2914		b0889
b3512	b4179		b0889
b3512	b3179		b0889
b3512	b0415		b0889
b3512	b3824		b0889
b3512	b2784	b3357	b0889
b3512	b2184		b0889
b3512	b3025		b0889
b3512	b4244		b0889
b3512	b1849		b0889
b3512	b2499		b0889
b3512	b3204		b0889
b3512	b4050		b0889
b3512	b4111	b3357	b0889
b3512	b3129		b0889
b3512	b1702		b0889
b3512	b2501		b0889
b3512	b3863		b0889
b3512	b1603	b4401	b0889
b3512	b0931	b3357 // b4401	b0889
b3512	b1020	b4401	b0889
b3512	b0383		b0889
b3512	b0767		b0889
b3512	b3459		b0889
b3512	b0741		b0889
b3512	b1812		b0889
b3512	b0565	b1130	b0889
b3512	b0416		b0889
