R	U	V	W	X	Y
b4401	b1712	b0683	b1334	b3512	b2029
b4401	b1712	b0683	b1334	b3512	b0428
b4401	b1712	b0683	b1334	b3512	b0429
b4401	b1712	b0683	b1334	b3512	b0430
b4401	b1712	b0683	b1334	b3512	b0431
b4401	b1712	b0683	b1334	b3512	b0432
b4401	b0912	b0683	b1334	b3512	b2029
b4401	b0912	b0683	b1334	b3512	b0428
b4401	b0912	b0683	b1334	b3512	b0429
b4401	b0912	b0683	b1334	b3512	b0430
b4401	b0912	b0683	b1334	b3512	b0431
b4401	b0912	b0683	b1334	b3512	b0432
b3516	b0911	b1712 // b0912	b3261	b3512	b3212
b3516	b0911	b1712 // b0912	b3261	b3512	b3213
b3516	b0911	b1712 // b0912	b3261	b3512	b3214
b3516	b3556	b1954	b1237	b3512	b0889
b3516	b1712	b0683	b1334	b3512	b2029
b3516	b1712	b0683	b1334	b3512	b0428
b3516	b1712	b0683	b1334	b3512	b0429
b3516	b1712	b0683	b1334	b3512	b0430
b3516	b1712	b0683	b1334	b3512	b0431
b3516	b1712	b0683	b1334	b3512	b0432
b3516	b0912	b0683	b1334	b3512	b2029
b3516	b0912	b0683	b1334	b3512	b0428
b3516	b0912	b0683	b1334	b3512	b0429
b3516	b0912	b0683	b1334	b3512	b0430
b3516	b0912	b0683	b1334	b3512	b0431
b3516	b0912	b0683	b1334	b3512	b0432
b3516	b3868	b0683	b1988	b3512	b2029
b3516	b3868	b0683	b1988	b3512	b0428
b3516	b3868	b0683	b1988	b3512	b0429
b3516	b3868	b0683	b1988	b3512	b0430
b3516	b3868	b0683	b1988	b3512	b0431
b3516	b3868	b0683	b1988	b3512	b0432
b3516	b3868	b0683	b1988	b3512	b3212
b3516	b3868	b0683	b1988	b3512	b3213
b3516	b3868	b0683	b1988	b3512	b3214
b3516	b0889	b0683	b1988	b3512	b2029
b3516	b0889	b0683	b1988	b3512	b0428
b3516	b0889	b0683	b1988	b3512	b0429
b3516	b0889	b0683	b1988	b3512	b0430
b3516	b0889	b0683	b1988	b3512	b0431
b3516	b0889	b0683	b1988	b3512	b0432
b3515	b4442	b4443	b1130	b3512	b0889
b3515	b1988	b4704	b3512	b3512	b4718
b3515	b2369	b2217	b1499	b3512	b3508
b3515	b2369	b2217	b1499	b3512	b3509
b3515	b2369	b2217	b1499	b3512	b3510
b3515	b2369	b2217	b1499	b3512	b3511
b3515	b2369	b2217	b1499	b3512	b1951
b3515	b2369	b2217	b1499	b3512	b1492
b3515	b2369	b2217	b1499	b3512	b1493
b3515	b2369	b2217	b1499	b3512	b3491
b3515	b2369	b2217	b1499	b3512	b3800
b3515	b2369	b2217	b1499	b3512	b3507
b3515	b2369	b2217	b1499	b3512	b3506
b3515	b2369	b2217	b1499	b3512	b4131
b3515	b2369	b2217	b1499	b3512	b4132
b3515	b2369	b2217	b1499	b3512	b4115
b3515	b2369	b2217	b1499	b3512	b3516
b3515	b2369	b2217	b1499	b3512	b3517
b3515	b4116	b2217 // b0995	b3516	b3512	b3508
b3515	b4116	b2217 // b0995	b3516	b3512	b3509
b3515	b4116	b2217 // b0995	b3516	b3512	b3510
b3515	b4116	b2217	b3516	b3512	b3511
b3515	b4116	b3261	b3516	b3512	b0428
b3515	b4116	b3261	b3516	b3512	b0429
b3515	b4116	b3261	b3516	b3512	b0430
b3515	b4116	b3261	b3516	b3512	b0431
b3515	b4116	b3261	b3516	b3512	b0432
b3515	b4116	b2217	b3516	b3512	b1951
b3515	b4116	b2217	b3516	b3512	b3491
b3515	b4116	b2217	b3516	b3512	b3800
b3515	b4116	b2217	b3516	b3512	b3507
b3515	b4116	b2217	b3516	b3512	b3506
b3515	b4116	b2217	b3516	b3512	b4131
b3515	b4116	b2217	b3516	b3512	b4132
b3515	b4116	b2217	b3516	b3512	b4115
b3515	b4401	b2217 // b0995	b3516	b3512	b3508
b3515	b4401	b2217 // b0995	b3516	b3512	b3509
b3515	b4401	b2217 // b0995	b3516	b3512	b3510
b3515	b4401	b2217	b3516	b3512	b3511
b3515	b4401	b2217	b3516	b3512	b1951
b3515	b4401	b4116	b3516	b3512	b3212
b3515	b4401	b4116	b3516	b3512	b3213
b3515	b4401	b4116	b3516	b3512	b3214
b3515	b4401	b4116 // b2217 // b3261	b3516	b3512	b1492
