R	U	V	W	X	Y
b1130	b2808	b4401	b4443	b3515	b4718
b1130	b2808	b4401	b4443	b3515	b3512
b1130	b2808	b4401	b4443	b3515	b3516
b1130	b2808	b4401	b4443	b3515	b3517
b4452	b3162	b1988	b1916	b3515	b3513
b4452	b3162	b1988	b1916	b3515	b3512
b4452	b3162	b1988	b1916	b3515	b3516
b4452	b2696	b1988	b1916	b3515	b3513
b4452	b2696	b1988	b1916	b3515	b3512
b4452	b2696	b1988	b1916	b3515	b3516
b4452	b4116	b0995	b3516	b3515	b3508
b4452	b4116	b0995	b3516	b3515	b3509
b4452	b4116	b0995	b3516	b3515	b3510
b4452	b4116	b4401 // b3357	b3516	b3515	b4718
b4452	b4116	b3357	b3516	b3515	b3514
b4452	b4116	b3357 // b1988	b3516	b3515	b3513
b4452	b4116	b4401 // b3357 // b1988	b3516	b3515	b3512
b4452	b4401	b4116 // b3261 // b3357	b3516	b3515	b1492
b4452	b4401	b4116 // b3261 // b3357	b3516	b3515	b1493
b4452	b4401	b0995	b3516	b3515	b3508
b4452	b4401	b0995	b3516	b3515	b3509
b4452	b4401	b0995	b3516	b3515	b3510
b4452	b4401	b3357	b3516	b3515	b3514
b4452	b4401	b3357 // b1988	b3516	b3515	b3513
b4452	b0399	b4116 // b3261 // b3357	b3516	b3515	b1492
b4452	b0399	b4116 // b3261 // b3357	b3516	b3515	b1493
b4452	b0399	b0995	b3516	b3515	b3508
b4452	b0399	b0995	b3516	b3515	b3509
b4452	b0399	b0995	b3516	b3515	b3510
b4452	b0399	b4401 // b3357	b3516	b3515	b4718
b4452	b0399	b3357	b3516	b3515	b3514
b4452	b0399	b3357	b3516	b3515	b3513
b4452	b0399	b4401 // b3357	b3516	b3515	b3512
b4452	b0399	b4116 // b4401 // b3261 // b0995 // b3357	b3516	b3515	b3517
b4452	b2664	b4116 // b3261 // b3357	b3516	b3515	b1492
b4452	b2664	b4116 // b3261 // b3357	b3516	b3515	b1493
b4452	b2664	b0995	b3516	b3515	b3508
b4452	b2664	b0995	b3516	b3515	b3509
b4452	b2664	b0995	b3516	b3515	b3510
b4452	b2664	b4401 // b3357	b3516	b3515	b4718
b4452	b2664	b3357	b3516	b3515	b3514
b4452	b2664	b3357 // b1988	b3516	b3515	b3513
b4452	b2664	b4401 // b3357 // b1988	b3516	b3515	b3512
b4452	b2664	b4116 // b4401 // b3261 // b0995 // b3357	b3516	b3515	b3517
b4452	b3261	b0995	b3516	b3515	b3508
b4452	b3261	b0995	b3516	b3515	b3509
b4452	b3261	b0995	b3516	b3515	b3510
b4452	b3261	b4401	b3516	b3515	b4718
b4452	b3261	b1988	b3516	b3515	b3513
b4452	b3261	b4401 // b1988	b3516	b3515	b3512
b4452	b0995	b4116 // b3261 // b3357	b3516	b3515	b1492
b4452	b0995	b4116 // b3261 // b3357	b3516	b3515	b1493
b4452	b0995	b4401 // b3357	b3516	b3515	b4718
b4452	b0995	b3357	b3516	b3515	b3514
b4452	b0995	b3357 // b1988	b3516	b3515	b3513
b4452	b0995	b4401 // b3357 // b1988	b3516	b3515	b3512
b4452	b3357	b0995	b3516	b3515	b3508
b4452	b3357	b0995	b3516	b3515	b3509
b4452	b3357	b0995	b3516	b3515	b3510
b4452	b1013	b4116 // b3261 // b3357	b3516	b3515	b1492
b4452	b1013	b4116 // b3261 // b3357	b3516	b3515	b1493
b4452	b1013	b0995	b3516	b3515	b3508
b4452	b1013	b0995	b3516	b3515	b3509
b4452	b1013	b0995	b3516	b3515	b3510
b4452	b1013	b4401 // b3357	b3516	b3515	b4718
b4452	b1013	b3357	b3516	b3515	b3514
