Cause	Effect	Regulators	Mediators
b3516	b1492	b3357 // b3261 // b2217 // b4116	b3515
b3516	b1493	b3357 // b3261 // b2217 // b4116	b3515
b3516	b3508	b0995 // b2217	b3515
b3516	b3509	b0995 // b2217	b3515
b3516	b3510	b0995 // b2217	b3515
b3516	b3507	b2217	b3515
b3516	b3506	b2217	b3515
b3516	b4452	b2217	b3515
b3516	b4718	b3357 // b4401	b3515
b3516	b3514	b3357	b3515
b3516	b3513	b1988 // b3357	b3515
b3516	b3512	b1988 // b3357 // b4401	b3515
b3516	b3517	b3357 // b0995 // b3261 // b2217 // b4401 // b4116	b3515
b3516	b4057		b3512
b3516	b4056		b3512
b3516	b3508	b0995 // b2217	b3512
b3516	b3509	b0995 // b2217	b3512
b3516	b3510	b0995 // b2217	b3512
b3516	b1923		b3512
b3516	b3515	b1334 // b1013 // b2664 // b0399 // b4452	b3512
b3516	b0181		b3512
b3516	b0180		b3512
b3516	b0179		b3512
b3516	b0178		b3512
b3516	b4177		b3512
b3516	b3511	b2217	b3512
b3516	b2029	b1334	b3512
b3516	b4718		b3512
b3516	b3514		b3512
b3516	b3513		b3512
b3516	b0428	b1334 // b3261	b3512
b3516	b0429	b1334 // b3261	b3512
b3516	b0430	b1334 // b3261	b3512
b3516	b0431	b1334 // b3261	b3512
b3516	b0432	b1334 // b3261	b3512
b3516	b1951	b2217	b3512
b3516	b3212	b1334 // b4116	b3512
b3516	b3213	b1334 // b4116	b3512
b3516	b3214	b1334 // b2664 // b4116	b3512
b3516	b0889		b3512
b3516	b1492	b3261 // b2217 // b4116	b3512
b3516	b1493	b3261 // b2217 // b4116	b3512
b3516	b3491	b2217	b3512
b3516	b3800	b2217	b3512
b3516	b3507	b2217 // b2664	b3512
b3516	b3506	b2217	b3512
b3516	b4131	b2217	b3512
b3516	b4132	b2217	b3512
b3516	b4115	b2217 // b0399	b3512
b3516	b3517	b1334 // b0995 // b3261 // b2217 // b4116	b3512
b3516	b0315	b1988	b1237
b3516	NIL	b3357	b1237
b3516	b4032	b3357	b1237
b3516	b4033	b3357	b1237
b3516	b4034	b3357	b1237
b3516	b1037	b3357 // b2217	b1237
b3516	b1038	b3357 // b2217	b1237
b3516	b1039	b3357 // b2217	b1237
b3516	b1040	b3357 // b2217	b1237
b3516	b4777		b1237
b3516	b1600		b1237
b3516	b1599		b1237
b3516	b3556		b1237
b3516	b2912		b1237
b3516	b2911		b1237
b3516	b4237	b1988 // b1334	b1237
b3516	b4238	b1334	b1237
b3516	b2236	b1988 // b3357	b1237
b3516	b2234	b3357	b1237
b3516	b2235	b3357	b1237
b3516	b0035	b1334 // b3357 // b4401	b1237
b3516	b0036	b1334 // b3357 // b4401	b1237
b3516	b0037	b1334 // b3357 // b4401	b1237
b3516	b0038	b1334 // b3357 // b4401	b1237
b3516	b0039	b1334 // b3357 // b4401	b1237
b3516	b0040	b1334 // b3357 // b4401	b1237
b3516	b0889	b1988 // b3512	b1237
b3516	b3665		b1237
b3516	b2370		b1237
b3516	b2369	b1988	b1237
b3516	b4480		b1237
b3516	b3491	b2217 // b3512	b1237
b3516	b4116		b1237
b3516	b1499	b2217 // b2664	b1237
b3516	b4718	b3515 // b3357 // b3512 // b4401	b1237
b3516	b3514	b3515 // b3357 // b3512	b1237
b3516	b3513	b1988 // b3515 // b3357 // b3512	b1237
b3516	b3512	b1988 // b3515 // b3357 // b4401	b1237
b3516	b1501	b1988 // b2217	b1237
b3516	b4133	b1334 // b2664	b1237
b3516	b2217		b1237
b3516	b2216		b1237
b3516	b3507	b3515 // b2217 // b2664 // b3512	b1237
b3516	b3506	b3515 // b2217 // b3512	b1237
b3516	b2760	b3357 // b2664	b1237
b3516	b2759	b3357	b1237
b3516	b2758	b3357	b1237
b3516	b2757	b3357	b1237
b3516	b2756	b3357	b1237
b3516	b2755	b3357	b1237
b3516	b2754	b3357	b1237
b3516	b1905		b1237
b3516	b1597	b0399	b1237
b3516	b3265	b1988 // b1334	b1237
b3516	b3266	b1334	b1237
b3516	b0812		b1237
b3516	b4364	b2664	b1237
b3516	b4366		b1237
b3516	b4365	b2664	b1237
b3516	b0076	b1988 // b2217	b1237
b3516	b2702	b3357	b1237
b3516	b2703	b3357	b1237
b3516	b2704	b3357	b1237
b3516	b2705	b3357	b1237
b3516	b2706	b3357	b1237
b3516	b2707	b1988 // b3357	b1237
b3516	b2708	b3357	b1237
b3516	b3123	b1334	b1237
b3516	b3124	b1334	b1237
b3516	b3125	b1334	b1237
b3516	b3126	b1334	b1237
b3516	b3127	b1334	b1237
b3516	b2421		b1237
b3516	b2422		b1237
b3516	b2423		b1237
b3516	b2424		b1237
b3516	b2425		b1237
b3516	b2306		b1237
b3516	b2307		b1237
b3516	b2308		b1237
b3516	b2309		b1237
b3516	b4511	b1334	b1237
b3516	b0585	b1334	b1237
b3516	b0586	b1334	b1237
