FrameId	Name	Blattner
EG10079	aroG	b0754
EG12631	gntU	b4476
EG11271	pheL	b2598
EG12369	ydjE	b1769
EG10084	aroP	b0112
EG12141	ydhC	b1660
EG10589	metK	b2942
EG11896	plaP	b2014
EG11689	nepI	b3662
EG11459	yifK	b3795
EG11104	entS	b0591
EG10629	emrE	b0543
G6893	ydhP	b1657
G6440	mdfA	b0842
EG13283	emrY	b2367
EG12576	mdtM	b4337
EG12282	yiaN	b3578
EG12129	uraA	b2497
EG11392	nhaB	b1186
EG11041	tyrP	b1907
G7833	yjeH	b4141
G7159	yfaV	b2246
G6858	mdtJ	b1600
EG12908	frlA	b3370
EG12544	nanX	b4279
EG12266	yhjV	b3539
EG12029	nupX	b2161
EG11840	yihN	b3874
EG11616	gdx	b4148
EG11337	lysP	b2156
G7507	uacT	b2888
G7114	mdtB	b2075
G6817	ydfJ	b1543
G6280	ybbW	b0511
EG12802	yrbG	b3196
EG12475	yjeM	b4156
EG12230	pitA	b3493
EG11954	mdtN	b4082
EG11732	hsrA	b3754
G7465	yqeG	b2845
G7004	yebQ	b1828
G6744	ydcO	b1433
G6206	mhpT	b0353
EG12445	eamB	b2578
EG11942	actP	b4067
EG11706	yidK	b3679
EG11512	satP	b0010
EG11242	ycaD	b0898
EG10664	nupG	b2964
G7421	ygbN	b2740
G6962	ydjK	b1775
G6561	murJ	b1069
G436	nanT	b3224
EG12713	yddG	b1473
EG12380	gntT	b3415
EG12142	sdaC	b2796
EG11919	yjbB	b4020
EG11691	adeQ	b3664
EG11159	argO	b2923
EG10642	narK	b1223
G7309	focB	b2492
G6916	ydiM	b1690
G6466	ycaM	b0899
EG10785	pth	b1204
EG12587	lgoT	b4356
G6362	ybeY	b0659
EG12283	yiaO	b3579
EG10504	infA	b0884
EG12134	rhtA	b0813
EG11128	yciH	b1282
EG11873	fieF	b3915
G0-10465	arfA	b4550
EG11686	yicJ	b3657
EG12343	ettA	b4391
EG11419	bcr	b2182
EG12202	treR	b4241
EG11036	tufA	b3339
G7942	btsT	b4354
EG11752	otsB	b1897
EG12099	efp	b4147
G7198	yfcJ	b2322
EG11017	treA	b1197
EG10941	selA	b3591
G6861	ydgI	b1605
EG12629	gntK	b3437
EG10761	prfA	b1211
G6393	zitB	b0752
EG12127	treB	b4240
EG10505	infB	b3168
EG12548	yjhF	b4296
EG11319	galU	b1236
EG12354	arfB	b0191
EG12268	yhjX	b3547
EG10033	agp	b1002
EG10360	fusA	b3340
EG12032	psuT	b2164
G6655	ycjU	b1317
EG11037	tufB	b3980
EG11841	yihO	b3876
EG12144	pgm	b0688
EG12114	prfC	b4375
EG11639	eamA	b1533
EG11751	otsA	b1896
EG10942	selB	b3590
EG11343	mdtG	b1053
EG10369	gcd	b0124
EG11681	hpf	b3203
EG11020	trkG	b1363
EG11796	lplA	b4386
EG10762	prfB	b2891
EG10091	asnA	b3744
EG11306	lipA	b0628
EG10506	infC	b1718
G6764	ansP	b1453
EG11591	lipB	b0630
EG12903	yheS	b3352
EG11384	ahpC	b0605
EG12223	rbbA	b3486
G6660	tpx	b1324
EG11033	tsf	b0170
G7587	yqiI	b3048
G6382	pxpA	b0713
EG10275	accB	b3255
EG12026	yeiG	b2154
G6285	allC	b0516
G6275	allA	b0505
G7254	mntH	b2392
G6208	frmB	b0355
G6286	allD	b0517
EG11852	dtd	b3887
G6281	allB	b0512
EG10509	katE	b1732
G6284	allE	b0515
G7049	dgcQ	b1956
G6155	paoC	b0284
EG10192	cysK	b2414
EG12880	dgcN	b2604
EG11723	yieF	b3713
EG10193	cysM	b2421
EG10150	cheY	b1882
EG10108	bcp	b2480
EG10184	cysB	b1275
EG10147	cheB	b1883
G6886	sodC	b1646
G7071	cbl	b1987
G7354	yfiR	b2603
EG11579	ybiA	b0798
EG10187	cysE	b3607
EG11643	dgcZ	b1535
EG11385	ahpF	b0606
G6971	cdgI	b1785
G7622	cyuA	b4470
EG10151	cheZ	b1881
G6438	gstB	b0838
EG12396	dgcE	b2067
EG10953	sodA	b3908
EG10148	cheR	b1884
G7312	yfgD	b2495
G6972	dgcJ	b1786
G6380	pxpB	b0711
G6776	bdm	b1481
EG11870	yiiM	b3910
G6532	dgcT	b1025
EG10511	katG	b3942
EG12403	chaC	b1218
G7055	hchA	b1967
EG12002	yehP	b2121
G6156	paoB	b0285
EG10146	cheA	b1888
EG11758	nnr	b4167
EG10175	cynS	b0340
EG12450	norW	b2711
G7242	alaC	b2379
EG10001	alr	b4053
EG11599	marB	b1532
G0-9281	alaB	NIL
EG12236	arsB	b3502
EG11310	ydbD	b1407
EG10107	avtA	b3572
G7758	yhhY	b3441
G7184	alaA	b2290
G6487	ycbX	b0947
G6314	ybcW	b0559
EG10954	sodB	b1656
G6151	yagN	b0280
G7558	gpr	b3001
G6128	ykfA	b0253
G6381	pxpC	b0712
EG12370	intE	b1140
EG10521	kefC	b0047
EG11739	nfrB	b0569
EG10271	exbB	b3006
G7139	rcnB	b2107
G7368	yfjQ	b2633
EG10272	exbD	b3005
G6157	paoA	b0286
G7274	yffM	b2444
EG11012	tonB	b1252
EG10177	cynX	b0341
G7119	ogrK	b2082
EG12241	mdtF	b3514
G6932	hxpB	b1727
G6829	essQ	b1556
EG11479	tatC	b3839
EG12600	yjjX	b4394
G6693	insH5	b1370
G7806	tatA	b3836
G6878	gstA	b1635
G6595	beeE	b1151
EG11704	acrB	b0462
EG12237	arsC	b3503
G6311	rzpD	b0556
EG10014	acrD	b2470
EG10398	glpK	b3926
G6148	yagK	b0277
G7808	tatB	b3838
EG11904	gldA	b3945
G6124	ykfF	b0249
EG11305	tatE	b0627
EG10399	glpQ	b2239
EG12339	yagB	b0266
EG10394	glpD	b3426
EG11303	ydfD	b1576
EG20091	gpsA	b3608
EG10779	pspD	b1307
EG12427	modA	b0763
EG11050	ugpQ	b3449
G7232	yfdT	b2363
EG11829	mobA	b3857
EG11016	tpr	b1229
G6826	rzpQ	b1553
EG11597	moaD	b0784
EG12048	yejK	b2186
G6688	ynaK	b1365
EG11511	mog	b0009
EG12193	cbpA	b1000
G6592	ymfM	b1148
EG10152	modC	b0765
EG12732	sstT	b3089
G6308	insH2	b0552
G6395	modE	b0761
