TF	Target	Regulation
b3936	b3936	-
b2696	b3428	-
b2696	b3429	-
b2696	b3430	-
b2696	b3428	-
b2696	b3429	-
b2696	b3430	-
b3912	b4188	+
b0315	b4466	+
b1988	b1582	-
b3405	b4803	-
b3405	b0692	-
b3405	b0693	-
b1988	b1722	-
b0145	b4408	+
b0145	b4408	+
b2664	b2647	-
b1988	b2851	-
b1988	b2296	+
b2664	b4461	-
b1988	b2765	-
b1988	b4078	-
b2696	b1535	-
b2696	b1535	-
b1988	b3715	-
b4398	b2297	+
b4398	b2296	+
b3023	b1450	-
b3357	b1420	+
b1988	b2271	+
b2664	b1375	-
b4401	b2210	-
b2664	b1217	-
b2664	b1218	-
b1988	b2158	+
b2664	b3010	-
b1988	b2295	-
b2664	b1428	-
b1988	b3523	+
b4401	b3523	-
b0911	b3164	+
b3164	b3164	-
b1988	b3074	+
b1988	b0295	-
b4113	b3615	+
b1988	b3029	-
b1988	b2028	-
b4396	b0117	+
b4062	b3160	+
b4396	b3160	+
b1531	b3160	+
b0145	b4457	+
b0145	b4457	+
b4396	b0820	+
b1988	b1675	-
b1988	b0287	+
b1988	b2833	-
b2531	b0994	-
b3357	b2774	+
b1921	b4045	-
b1988	b3954	-
b4396	b1431	+
b1988	b4145	-
b1988	b1827	-
b3341	b3339	-
b3341	b3340	-
b3341	b3341	-
b3341	b3342	-
b4401	b2581	+
b0145	b2552	+
b0272	b0269	-
b0272	b0268	-
b1988	b2371	-
b1988	b1446	-
b4401	b2518	-
b2696	b3049	-
b1508	b2452	-
b1508	b2451	-
b1508	b2452	-
b1508	b2451	-
b1328	b1329	-
b1988	b3488	-
b2916	b3433	+
b0185	b0185	-
b2316	b0185	-
b1275	b2291	+
b4113	b4114	+
b1988	b4114	-
b1988	b4257	-
b1988	b4001	+
b3105	b3107	+
b3105	b3106	+
b1988	b4542	-
b1988	b0807	+
b2664	b3078	+
b1988	b3078	-
b3357	b4358	+
b3094	b4358	-
b4324	b4358	-
b2664	b3023	-
b1988	b2016	-
b4398	b3652	+
b0076	b2985	-
b0076	b2984	-
b2696	b3049	-
b1084	b1084	-
b1988	b0770	-
b0796	b0797	+
b2664	b1668	-
b3753	b2065	+
b3753	b2066	+
b1570	b1570	+
b2696	b4722	-
b2696	b4721	-
b2696	b4720	-
b2696	b4326	-
b2696	b4722	-
b2696	b4721	-
b2696	b4720	-
b2696	b4326	-
b3357	b2870	+
b1988	b1759	-
b1988	b2843	-
b0169	b4414	-
b0169	b0169	-
b0169	b0170	-
b2696	b4722	-
b2696	b4326	-
b4004	b4402	+
b1988	b0381	-
b4062	b0168	+
b4062	b0167	+
b4062	b0166	+
b4396	b0168	+
b4396	b0167	+
b4396	b0166	+
b1531	b0168	+
b1531	b0167	+
b1531	b0166	+
b4113	b2258	+
b4113	b4544	+
b4113	b2257	+
b4113	b2256	+
b4113	b2255	+
b4113	b2254	+
b4113	b2253	+
b1988	b3717	-
b1988	b2270	-
b4004	b3280	+
b4004	b3281	+
b4004	b3282	+
b4004	b3283	+
b1988	b1828	-
b1988	b1202	+
b2664	b1202	-
b1988	b1161	+
b1988	b0898	-
b1988	b0787	+
b1988	b0768	+
b3984	b3988	-
b3984	b3987	-
b3984	b3986	-
b3984	b3985	-
b3984	b3984	-
b3984	b3983	-
b2696	b4722	-
b2696	b4326	-
b2696	b3428	-
b2696	b3429	-
b2696	b3430	-
b2696	b3428	-
b2696	b3429	-
b2696	b3430	-
b3357	b0651	+
b2664	b1974	+
b1988	b3142	-
b4396	b3153	-
b1988	b0208	-
b1988	b4214	+
b1988	b4077	-
b1988	b1449	-
b3357	b1581	+
b3357	b1580	+
b1540	b1581	-
b1540	b1580	-
b1988	b1545	-
b1334	b2920	+
b1334	b2919	+
b1334	b2918	+
b1334	b2917	+
b1988	b1374	-
b4172	b2733	-
b4401	b1332	-
b0185	b2316	-
b2316	b2316	-
b1320	b1319	-
b1320	b4524	-
b1320	b1318	-
b1320	b1317	-
b1320	b1316	-
b1320	b1315	-
b1320	b1314	-
b1320	b1313	-
b1320	b1312	-
b1320	b1311	-
b1320	b1310	-
b1320	b1309	-
b4401	b1185	+
b4004	b1557	+
b1988	b0900	+
b1988	b2157	-
b2079	b0897	+
b1988	b0897	-
b1334	b0897	-
b2664	b1168	-
b1988	b3522	-
b1988	b3119	-
b4062	b3028	+
b4396	b3028	+
b1531	b3028	+
b2664	b4199	-
b1499	b0020	+
b1988	b1932	-
b4401	b3402	+
b1642	b4337	+
b1642	b4336	+
b2664	b3284	+
b1853	b1853	-
b1988	b0647	+
b1988	b0608	-
b2664	b4162	+
b1334	b4493	-
b1642	b1642	+
b1642	b1642	+
b2664	b1542	-
b1130	b2777	+
b1988	b1690	-
b3306	b3299	-
b3306	b3300	-
b3306	b3301	-
b3306	b3302	-
b3306	b3303	-
b3306	b3304	-
b3306	b3305	-
