Effect	Mediator	Causes	Regulators
G6423	EG11366	EG11434 // EG10958 // EG10672	EG10547 // EG10164
EG10638	EG11366	EG11434 // EG10958 // EG10672	EG10440 // EG10441 // EG10325 // EG10317
EG11943	EG11366	EG11434 // EG10672	EG10440 // EG10441 // EG10317 // EG10164
EG10280	EG11366	EG11434 // EG10958 // EG10672	EG10547 // EG10164
EG11942	EG11366	EG11434 // EG10672	EG10440 // EG10441 // EG10317 // EG10164
EG11448	EG11366	EG11434 // EG10672	EG10440 // EG10441 // EG10317 // EG10164
EG10035	EG11366	EG11434 // EG10958 // EG10672	EG10325 // EG10164
EG10358	EG11366	EG11434 // EG10958 // EG10672	EG10957 // EG10359 // EG10325 // EG10164
EG11325	EG11366	EG11434 // EG10958 // EG10672	EG10325 // EG10164 // EG10338
EG11221	EG11366	EG11434 // EG10958	EG10359 // EG10325 // EG10338
EG11435	EG11366	EG11434 // EG10958 // EG10672	G7072 // EG10020 // EG10317 // EG10164 // EG12116 // EG10338 // EG11435
EG11434	EG11366	EG11434 // EG10958 // EG10672	EG10020 // EG10317 // EG10164 // EG12116 // EG10338 // EG11435 // G0-10677 // G0-8872
EG11599	EG11366	EG11434 // EG10958 // EG10672	EG10020 // EG10317 // EG10164 // EG12116 // EG10338 // EG11435
EG10953	EG11366	EG11434 // EG10958 // EG10672	EG10440 // EG10441 // EG10957 // EG10359 // EG10325 // EG10164 // G0-10677 // G0-8872
EG30063	EG11366	EG11434 // EG10958 // EG10672	EG10440 // EG10441 // EG10547 // EG12116
EG10035	EG10235	G7072 // EG10317	EG10164 // EG10325
EG10617	EG10466	G7072 // EG10317	EG10440 // EG10441 // EG10547
EG11041	EG10466	G7072 // EG10317	EG10440 // EG10441 // EG10547
EG30063	EG10466	G7072 // EG10317	EG10440 // EG10441 // EG10547
EG10953	EG10957	EG10325 // EG10359	EG10164 // EG10958 // G0-8872 // EG10440 // EG10441 // EG10061
EG10358	EG10957	EG10325 // EG10359	EG10164 // EG10958 // EG10061
EG11124	EG10958	EG10325 // EG10359	EG10164 // EG10061
EG10035	EG10958	EG10325 // EG10359	EG10164 // EG10061
EG11325	EG10958	EG10325 // EG10359	EG10164 // EG10061
EG11009	EG10958	EG12116 // G0-10671	EG10731 // EG10672
EG10787	EG10958	EG10325 // EG10359	EG10164 // EG10061
EG11435	EG10958	EG10359 // EG10547	G7072 // EG10164
EG10358	EG10958	EG10325 // EG10359	EG10164 // EG10061
EG10953	EG10958	EG10325 // EG10359	EG10164 // G0-8872 // EG10440 // EG10441 // EG10061
EG30063	EG10958	EG10325 // EG12116 // EG10547	EG10457 // EG10672 // EG10440 // EG10441 // EG10061
EG10754	EG10958	EG10359 // EG10547	EG11212 // EG10681
EG10131	EG10133	EG10531 // EG10457 // EG10325	EG10061 // EG12243 // EG10821 // EG10547
EG10132	EG10133	EG10531 // EG10457 // EG10325	EG10061 // EG12243 // EG10821 // EG10547
G7542	EG11088	EG10325 // EG10672	G7072 // EG10440 // EG10441 // EG10061
EG20080	EG11088	EG10325 // EG10672	EG10440 // EG10441 // EG10061
G7543	EG11088	EG10325 // EG10672	EG10440 // EG10441 // EG10061
G0-8601	EG11088	EG10325 // EG10672	EG10440 // EG10441 // EG10061
G7544	EG11088	EG10325 // EG10672	EG10440 // EG10441 // EG10061
G7545	EG11088	EG10325 // EG10672	EG10440 // EG10441 // EG10061
EG10182	EG11088	EG10325 // EG10164	EG10317 // EG10359 // EG10061
EG10181	EG11088	EG10325 // EG10164	EG10317 // EG10359 // EG10061
EG10180	EG11088	EG10325 // EG10164	EG10317 // EG10359 // EG10061
EG10179	EG11088	EG10325 // EG10164	EG10317 // EG10359 // EG10061
EG10178	EG11088	EG10325 // EG10164	EG10317 // EG10359 // EG10061
EG10649	EG11088	EG10325 // EG10672 // EG10164	EG10317 // EG10440 // EG10441 // EG10359 // EG10061
EG11784	EG11088	EG10325 // EG10164	EG10317 // EG10359 // EG10061
EG10543	EG11088	EG10325 // EG10164	EG10317 // EG10359 // EG10061
G6543	EG10457	EG12243 // EG10317	EG10440 // EG10441 // EG10821 // EG10164
G6544	EG10457	EG12243 // EG10317	EG10440 // EG10441 // EG10821 // EG10164
G6545	EG10457	EG12243 // EG10317	EG10440 // EG10441 // EG10821 // EG10164
G6546	EG10457	EG12243 // EG10317	EG10440 // EG10441 // EG10821 // EG10164
EG12360	EG10457	EG12243 // EG10317	EG10164 // G7072
EG12608	EG10457	EG12243 // EG10317	EG10061 // EG10164 // EG10325
EG11557	EG10457	EG12243 // EG10317	EG10061 // EG10164 // EG10325
