Cause	Effect	Regulators	Mediators
b1988	b2017		b4539
b1988	b0428	b1334 // b0683	b1969
b1988	b0429	b1334 // b0683	b1969
b1988	b0430	b1334 // b0683	b1969
b1988	b0431	b1334 // b0683	b1969
b1988	b0432	b1334 // b0683	b1969
b1988	b0575		b1969
b1988	b0574		b1969
b1988	b0573		b1969
b1988	b0572		b1969
b1988	b0570		b1969
b1988	b0571		b1969
b1988	b1970		b1969
b1988	b0382	b0889	b1422
b1988	b2331		b1422
b1988	b4435		b1422
b1988	b2000		b1422
b1988	b1943		b0315
b1988	b1942		b0315
b1988	b1941		b0315
b1988	b1940		b0315
b1988	b1939		b0315
b1988	b1938		b0315
b1988	b4466		b0315
b1988	b0226		b0225
b1988	b0623		b0225
b1988	b2406		b2405
b1988	b2407		b2405
b1988	b2687		b1914
b1988	b4457		b1914
b1988	b4408		b1914
b1988	b3666		b1914
b1988	b1501		b1914
b1988	b3666		b3669
b1988	b4471		b3118
b1988	b3113		b3118
b1988	b3114		b3118
b1988	b3115		b3118
b1988	b3116		b3118
b1988	b3117		b3118
b1988	b2702		b2707
b1988	b2703		b2707
b1988	b2704		b2707
b1988	b2705		b2707
b1988	b2706		b2707
b1988	b2708		b2707
b1988	b2058		b1951
b1988	b2059		b1951
b1988	b2060		b1951
b1988	b2061		b1951
b1988	b2062		b1951
b1988	b1891	b0683	b1951
b1988	b1892	b0683	b1951
b1988	b1037		b1951
b1988	b1038		b1951
b1988	b1039		b1951
b1988	b1040		b1951
b1988	b4029		b1951
b1988	b4028		b1951
b1988	b4027		b1951
b1988	b4026		b1951
b1988	b3725	b1334	b0399
b1988	b3726	b1334	b0399
b1988	b3727	b1334	b0399
b1988	b3728	b1334	b0399
b1988	b4217	b0889	b0399
b1988	b0080		b0399
b1988	b4115		b0399
b1988	b2465		b0399
b1988	b3515	b1334 // b0889	b0399
b1988	b3516	b1334	b0399
b1988	b0929	b0683	b0399
b1988	b3724	b1334	b0399
b1988	b1129		b0399
b1988	b3521		b0399
b1988	b2063		b0399
b1988	b1970		b0399
b1988	b1540		b0399
b1988	b1384		b0399
b1988	b0575		b0399
b1988	b0574		b0399
b1988	b0573		b0399
b1988	b0572		b0399
b1988	b0570		b0399
b1988	b0571		b0399
b1988	b0398		b0399
b1988	b0397		b0399
b1988	b0330		b0399
b1988	b1782		b0399
b1988	b2987		b0399
b1988	b3615		b0399
b1988	b1982		b0399
b1988	b2916		b0399
b1988	b1597		b0399
b1988	b1850		b0399
b1988	b1020	b0889	b0399
b1988	b4092		b0399
b1988	b4093		b0399
b1988	b4094		b0399
b1988	b4095		b0399
b1988	b4096		b0399
b1988	b4097		b0399
b1988	b4098		b0399
b1988	b4099		b0399
b1988	b4100		b0399
b1988	b4101		b0399
b1988	b4102		b0399
b1988	b4583		b0399
b1988	b4105		b0399
b1988	b4106		b0399
b1988	b0241		b0399
b1988	b4030		b0399
b1988	b3449		b0399
b1988	b3450		b0399
b1988	b3451		b0399
b1988	b3452		b0399
b1988	b3453		b0399
b1988	b0400		b0399
b1988	b0383	b0889	b0399
b1988	b0384		b0399
b1988	b4133	b1334	b3405
b1988	b4131	b0889	b3405
b1988	b4132	b0889	b3405
b1988	b4803		b3405
b1988	b0692		b3405
b1988	b0693		b3405
b1988	b3410	b1334 // b0683	b3405
b1988	b3408	b1334 // b0683	b3405
b1988	b3409	b1334 // b0683	b3405
b1988	b3364		b3405
b1988	b3035		b3405
b1988	b3089	b0889	b3405
b1988	b4396		b3405
b1988	b0813		b3405
b1988	b0113	b1334	b3405
b1988	b0814	b1334	b3405
b1988	b1469		b3405
b1988	b1677		b3405
b1988	b0222		b3405
b1988	b0221		b3405
b1988	b0464		b3405
b1988	b2215	b0889	b3405
b1988	b1021		b3405
b1988	b1022		b3405
b1988	b1023		b3405
b1988	b1024		b3405
b1988	b4445		b3405
b1988	b4444		b3405
b1988	b1634	b0889	b3405
b1988	b4411		b3405
b1988	b1480		b3405
b1988	b1891	b0683	b3405
b1988	b1892	b0683	b3405
b1988	b1037		b3405
b1988	b1038		b3405
b1988	b1039		b3405
b1988	b1040		b3405
b1988	b4439	b0889	b3405
b1988	b0553		b3405
b1988	b0435		b3405
b1988	b0929	b0683	b3405
b1988	b2344	b0889	b3405
b1988	b4019	b0683 // b0889	b3828
b1988	b2552	b1334 // b0683	b3828
b1988	b3829		b3828
b1988	b2551		b3828
b1988	b1531		b1530
b1988	b1532		b1530
b1988	b1621		b1620
b1988	b1622		b1620
b1988	b2838		b2839
b1988	b3292		b0889
b1988	b0752		b0889
b1988	b2412		b0889
b1988	b4387		b0889
b1988	b4216		b0889
b1988	b4206		b0889
b1988	b2845		b0889
b1988	b4640		b0889
b1988	b1957		b0889
b1988	b1811		b0889
b1988	b1760		b0889
b1988	b0306		b0889
b1988	b4334		b0889
b1988	b4190		b0889
b1988	b4141		b0889
b1988	b4057		b0889
b1988	b3910		b0889
b1988	b3655		b0889
b1988	b4554		b0889
b1988	b3602		b0889
b1988	b3555		b0889
b1988	b3535		b0889
b1988	b3527		b0889
b1988	b3491		b0889
b1988	b3448		b0889
b1988	b3268	b3868	b0889
b1988	b3267		b0889
b1988	b3293		b0889
b1988	b3238		b0889
b1988	b3180		b0889
b1988	b3024		b0889
b1988	b3023		b0889
b1988	b2605		b0889
b1988	b2225		b0889
b1988	b2013		b0889
b1988	b1847		b0889
b1988	b1783	b3868	b0889
b1988	b1781		b0889
b1988	b1664		b0889
b1988	b1604		b0889
b1988	b1498		b0889
b1988	b1534		b0889
b1988	b1431		b0889
b1988	b1428		b0889
b1988	b4596		b0889
b1988	b1284		b0889
b1988	b1242		b0889
b1988	b1188		b0889
b1988	b1110		b0889
b1988	b1063		b0889
b1988	b1055		b0889
b1988	b0877		b0889
b1988	b0853		b0889
b1988	b0820		b0889
b1988	b0808		b0889
b1988	b0803		b0889
b1988	b0791		b0889
b1988	b0707		b0889
b1988	b0658		b0889
b1988	b0600		b0889
b1988	b0577		b0889
b1988	b0579		b0889
b1988	b0379		b0889
b1988	b0287		b0889
b1988	b0190		b0889
b1988	b0119		b0889
b1988	b0057		b0889
b1988	b0005		b0889
b1988	b3786		b0889
b1988	b2498	b1334	b0889
b1988	b4040	b1334	b0889
b1988	b0888		b0889
b1988	b1197		b0889
b1988	b1274		b0889
b1988	b3994		b0889
b1988	b0958		b0889
b1988	b3962		b0889
b1988	b3089		b0889
b1988	b4691		b0889
b1988	b4062	b1334 // b0683	b0889
b1988	b3348		b0889
b1988	b1642		b0889
b1988	b0893		b0889
b1988	b1525		b0889
b1988	b2572	b3868	b0889
b1988	b3995		b0889
b1988	b3306		b0889
b1988	b3202		b0889
b1988	b3304		b0889
b1988	b3305		b0889
b1988	b4090		b0889
b1988	b2914		b0889
b1988	b4179		b0889
b1988	b3179		b0889
b1988	b0415		b0889
b1988	b3824		b0889
b1988	b2784	b3868	b0889
b1988	b2184		b0889
b1988	b3025		b0889
b1988	b4244		b0889
b1988	b1849		b0889
b1988	b2499	b1334	b0889
b1988	b3204		b0889
b1988	b4050		b0889
b1988	b4111		b0889
b1988	b3129		b0889
b1988	b1702		b0889
b1988	b2501		b0889
b1988	b3863		b0889
b1988	b1603		b0889
b1988	b0931		b0889
b1988	b1020		b0889
b1988	b0383		b0889
b1988	b0767		b0889
b1988	b3459		b0889
b1988	b0741		b0889
b1988	b1812		b0889
b1988	b0565		b0889
b1988	b0416		b0889
b1988	b2288	b1334	b0889
b1988	b2208	b1334	b0889
b1988	b2961		b0889
b1988	b2924		b0889
b1988	b0465		b0889
b1988	b0914		b0889
b1988	b0763		b0889
b1988	b1133		b0889
b1988	b0673		b0889
b1988	b4019	b0683	b0889
b1988	b3930		b0889
b1988	b1613		b0889
b1988	b1054		b0889
b1988	b0891		b0889
b1988	b0628		b0889
b1988	b0076		b0889
b1988	b0075		b0889
b1988	b0074		b0889
b1988	b1380		b0889
b1988	b1732	b0683	b0889
b1988	b0382		b0889
b1988	b4326	b1334	b0889
b1988	b2442		b0889
b1988	b0656		b0889
b1988	b3044		b0889
b1988	b3686		b0889
b1988	b3687		b0889
b1988	b0139		b0889
b1988	b0966		b0889
b1988	b3203		b0889
b1988	b1182	b1334	b0889
b1988	b4142		b0889
b1988	b4143		b0889
b1988	b0238		b0889
b1988	b4077		b0889
b1988	b0809	b3868	b0889
b1988	b3869	b3868	b0889
b1988	b0450	b1334 // b0683 // b3868	b0889
b1988	b0811	b3868	b0889
b1988	b3870	b3868	b0889
b1988	b3430		b0889
b1988	b2975		b0889
b1988	b1761	b1334 // b0683	b0889
b1988	b4452		b0889
b1988	b3515	b1334	b0889
b1988	b1493		b0889
b1988	b4140		b0889
b1988	b1612	b1334	b0889
b1988	b4153	b1334	b0889
b1988	b4154	b1334	b0889
b1988	b1922		b0889
b1988	b2344		b0889
b1988	b2342		b0889
b1988	b3006	b0683	b0889
b1988	b3546		b0889
b1988	b2779		b0889
b1988	b3673		b0889
b1988	b3496		b0889
b1988	b3544	b1334	b0889
b1988	b1200		b0889
b1988	b1535		b0889
b1988	b1956		b0889
b1988	b1341		b0889
b1988	b1786		b0889
b1988	b4383		b0889
b1988	b2317		b0889
b1988	b3162		b0889
b1988	b1275		b0889
b1988	b0886	b1334	b0889
b1988	b4109		b0889
b1988	b4397		b0889
b1988	b0742		b0889
b1988	b0881		b0889
b1988	b0437		b0889
b1988	b1733		b0889
b1988	b1987	b3868	b0889
b1988	b0126		b0889
b1988	b1710		b0889
b1988	b1060		b0889
b1988	b0557		b0889
b1988	b3735		b0889
b1988	b3734		b0889
b1988	b1748	b3868	b0889
b1988	b1866		b0889
b1988	b0928	b1334 // b0683	b0889
b1988	b0674		b0889
b1988	b3744		b0889
b1988	b0864		b0889
b1988	b0863		b0889
b1988	b0754		b0889
b1988	b2310	b3868	b0889
b1988	b1876		b0889
b1988	b3237		b0889
b1988	b2818		b0889
b1988	b3210		b0889
b1988	b4055		b0889
b1988	b2817		b0889
b1988	b2697		b0889
b1988	b3072	b1334	b0889
b1988	b0762		b0889
b1988	b3427		b0889
b1988	b4217		b0889
b1988	b2844		b0889
b1988	b4325		b0889
b1988	b4156		b0889
b1988	b4056		b0889
b1988	b4045		b0889
b1988	b3523		b0889
b1988	b3439		b0889
b1988	b3073	b3868	b0889
b1988	b2343	b1334	b0889
b1988	b2298		b0889
b1988	b2119		b0889
b1988	b1273		b0889
b1988	b0899		b0889
b1988	b0868		b0889
b1988	b0802		b0889
b1988	b0753		b0889
b1988	b1333		b0889
b1988	b1323		b0889
b1988	b1907		b0889
b1988	b1634		b0889
b1988	b0001		b0889
b1988	b4388		b0889
b1988	b2796		b0889
b1988	b2502		b0889
b1988	b0854	b3868	b0889
b1988	b0237		b0889
b1988	b3161		b0889
b1988	b2210		b0889
b1988	b2942		b0889
b1988	b2289		b0889
b1988	b1116		b0889
b1988	b0093		b0889
b1988	b2209		b0889
b1988	b4208		b0889
b1988	b2535		b0889
b1988	b0401		b0889
b1988	b4139	b1334	b0889
b1988	b2957	b1334	b0889
b1988	b4014		b0889
b1988	b4243		b0889
b1988	b2912		b0889
b1988	b2911		b0889
b1988	b4131		b0889
b1988	b4132		b0889
b1988	b2156		b0889
b1988	b1241	b1334	b0889
b1988	b4129		b0889
b1988	b2903	b1334	b0889
b1988	b2904	b1334	b0889
b1988	b2905	b1334	b0889
b1988	b1482		b0889
b1988	b1814		b0889
b1988	b1243	b0683	b0889
b1988	b1244	b0683	b0889
b1988	b1245	b0683	b0889
b1988	b1246	b0683	b0889
b1988	b1247	b0683	b0889
b1988	b4187		b0889
b1988	b3418		b0889
b1988	b3616		b0889
b1988	b3617		b0889
b1988	b4376		b0889
b1988	b2669		b0889
