Cause	Effect	Regulators	Mediators
b3961	b4019		b3828
b3961	b2552		b3828
b3961	b3829		b3828
b3961	b2551		b3828
b3961	b4367		b0683
b3961	b0150		b0683
b3961	b0151		b0683
b3961	b0152		b0683
b3961	b0153		b0683
b3961	b4287		b0683
b3961	b4288		b0683
b3961	b4289		b0683
b3961	b4290		b0683
b3961	b4291		b0683
b3961	b0583		b0683
b3961	b0584		b0683
b3961	b3410		b0683
b3961	b3408		b0683
b3961	b3409		b0683
b3961	b1679		b0683
b3961	b1680		b0683
b3961	b1681		b0683
b3961	b1682		b0683
b3961	b1683		b0683
b3961	b1684		b0683
b3961	b4707		b0683
b3961	b1256		b0683
b3961	b4063		b0683
b3961	b4062		b0683
b3961	b3212		b0683
b3961	b3213		b0683
b3961	b3214		b0683
b3961	b3070		b0683
b3961	b2579		b0683
b3961	b2029		b0683
b3961	b1988		b0683
b3961	b1852		b0683
b3961	b1761		b0683
b3961	b1611		b0683
b3961	b1334		b0683
b3961	b0451		b0683
b3961	b0450		b0683
b3961	b1109		b0683
b3961	b0928		b0683
b3961	b0167		b0683
b3961	b0116		b0683
b3961	b1821		b0683
b3961	b1062		b0683
b3961	b3123		b0683
b3961	b3124		b0683
b3961	b3125		b0683
b3961	b3126		b0683
b3961	b3127		b0683
b3961	b4567		b0683
b3961	b3335		b0683
b3961	b3334		b0683
b3961	b3333		b0683
b3961	b3332		b0683
b3961	b3331		b0683
b3961	b3330		b0683
b3961	b3329		b0683
b3961	b3328		b0683
b3961	b3327		b0683
b3961	b3326		b0683
b3961	b3325		b0683
b3961	b3324		b0683
b3961	b1243		b0683
b3961	b1244		b0683
b3961	b1245		b0683
b3961	b1246		b0683
b3961	b1247		b0683
b3961	b3942		b0683
b3961	b2741		b0683
b3961	b1732		b0683
b3961	b1905		b0683
b3961	b2107		b0683
b3961	b2106		b0683
b3961	b4019		b0683
b3961	b0929		b0683
b3961	b2155		b0683
b3961	b0592		b0683
b3961	b0588		b0683
b3961	b0589		b0683
b3961	b0590		b0683
b3961	b0593		b0683
b3961	b0594		b0683
b3961	b0595		b0683
b3961	b0596		b0683
b3961	b0597		b0683
b3961	b3908		b0683
b3961	b1891		b0683
b3961	b1892		b0683
b3961	b1658		b0683
b3961	b1252		b0683
b3961	b4292		b0683
b3961	b4293		b0683
b3961	b4122		b0683
b3961	b0428		b0683
b3961	b0429		b0683
b3961	b0430		b0683
b3961	b0431		b0683
b3961	b0432		b0683
b3961	b4764		b0683
b3961	b0721		b0683
b3961	b0722		b0683
b3961	b0723		b0683
b3961	b0724		b0683
b3961	b0726		b0683
b3961	b0727		b0683
b3961	b0728		b0683
b3961	b0729		b0683
b3961	b3441		b0683
b3961	b1546		b0683
b3961	b1547		b0683
b3961	b1548		b0683
b3961	b2392		b0683
b3961	b0755		b0683
b3961	b4451		b0683
b3961	b2671		b0683
b3961	b1102		b0683
b3961	b3938		b0683
b3961	b0805		b0683
b3961	b3006		b0683
b3961	b3005		b0683
b3961	b2673		b0683
b3961	b2674		b0683
b3961	b2676		b0683
b3961	b2675		b0683
b3961	b4511		b0683
b3961	b0585		b0683
b3961	b0586		b0683
b3961	b0587		b0683
b3961	b1973		b0683
b3961	b0591		b0683
b3961	b2552		b0683
