R	U	V	W	X	Y
b1658	b4062	b3357	b0683	b1658	b2507
b1658	b4062	b3357	b0683	b1658	b2508
b1658	b4062	b3357	b0683	b1658	b2903
b1658	b4062	b3357	b0683	b1658	b2904
b1658	b4062	b3357	b0683	b1658	b2905
b1658	b4451	b3357	b0683	b1658	b2507
b1658	b4451	b3357	b0683	b1658	b2508
b1658	b4451	b3357	b0683	b1658	b2903
b1658	b4451	b3357	b0683	b1658	b2904
b1658	b4451	b3357	b0683	b1658	b2905
b0683	b0080	b3261	b3357	b1658	b0032
b0683	b0080	b3261	b3357	b1658	b0033
b0683	b0080	b3261	b3357	b1658	b2507
b0683	b0080	b3261	b3357	b1658	b2508
b0683	b0080	b3261	b3357	b1658	b0945
b0683	b4698	b0889	b4062	b1658	b1849
b0683	b4698	b0889	b4062	b1658	b2499
b0683	b4698	b0889	b4062	b1658	b2903
b0683	b4698	b0889	b4062	b1658	b2904
b0683	b4698	b0889	b4062	b1658	b2905
b0683	b0464	b0889	b4062	b1658	b1849
b0683	b0464	b0889	b4062	b1658	b2499
b0683	b0464	b0889	b4062	b1658	b2903
b0683	b0464	b0889	b4062	b1658	b2904
b0683	b0464	b0889	b4062	b1658	b2905
