R	U	V	W	X	Y
EG11366	EG12116	EG10325	EG10958	EG11434	EG10035
EG11366	EG12116	EG10547	EG10958	EG11434	G6396
EG11366	EG12116	EG10325	EG10958	EG11434	EG11325
EG11366	EG12116	EG10547	EG10958	EG11434	G6447
EG11366	EG12116	EG10325	EG10958	EG11434	EG10754
EG11366	EG12116	EG10547	EG10958	EG11434	EG11400
EG11366	EG12116	EG10547	EG10958	EG11434	EG11399
EG11366	EG12116	EG10547	EG10958	EG11434	EG11398
EG10359	EG12116	EG10325	EG10958	EG10319	G7035
EG10359	EG12116	EG10325	EG10958	EG10319	EG11781
EG10359	EG12116	EG10325	EG10958	EG10319	EG11945
EG10359	EG12116	EG10325	EG10958	EG10319	EG11946
EG10359	EG12116	EG10325	EG10958	EG10319	EG11947
EG10359	EG12116	EG10325	EG10958	EG10319	EG11948
EG10359	EG12116	EG10325	EG10958	EG10319	EG11949
EG10359	EG12116	EG10325	EG10958	EG10319	EG11950
EG10359	EG12116	EG10547	EG10958	EG10319	EG11355
EG10359	EG12116	EG10325	EG10958	EG10319	EG12052
EG10359	EG12116	EG10325	EG10958	EG10319	EG12053
EG10359	EG12116	EG10325	EG10958	EG10319	EG12054
EG10359	EG12116	EG10325	EG10958	EG10319	EG12055
EG10359	EG12116	EG10325	EG10958	EG10319	EG12169
EG10359	EG12116	EG10325	EG10958	EG10319	EG12057
EG10359	EG12116	EG10325	EG10958	EG10319	EG12058
EG10359	EG12116	EG10325	EG10958	EG10319	EG12059
EG10359	EG12116	EG10325	EG10958	EG10319	EG12060
EG10359	EG12116	EG10325	EG10958	EG10319	EG12061
EG10359	EG12116	EG10325	EG10958	EG10319	EG12062
EG10359	EG12116	EG10325	EG10958	EG10319	EG12064
EG10359	EG12116	EG10325	EG10958	EG10319	EG12067
EG10359	EG12116	EG10325	EG10958	EG10319	EG12143
EG10359	EG12116	EG10325	EG10958	EG10319	EG10391
EG10359	EG12116	EG10325	EG10958	EG10319	EG10392
EG10359	EG12116	EG10325	EG10958	EG10319	EG10393
EG10359	EG12116	EG10325	EG10958	EG10320	G7035
EG10359	EG12116	EG10325	EG10958	EG10320	EG11781
EG10359	EG12116	EG10325	EG10958	EG10320	EG11945
EG10359	EG12116	EG10325	EG10958	EG10320	EG11946
EG10359	EG12116	EG10325	EG10958	EG10320	EG11947
EG10359	EG12116	EG10325	EG10958	EG10320	EG11948
EG10359	EG12116	EG10325	EG10958	EG10320	EG11949
EG10359	EG12116	EG10325	EG10958	EG10320	EG11950
EG10359	EG12116	EG10547	EG10958	EG10320	EG11355
EG10359	EG12116	EG10325	EG10958	EG10320	EG12052
EG10359	EG12116	EG10325	EG10958	EG10320	EG12053
EG10359	EG12116	EG10325	EG10958	EG10320	EG12054
EG10359	EG12116	EG10325	EG10958	EG10320	EG12055
EG10359	EG12116	EG10325	EG10958	EG10320	EG12169
EG10359	EG12116	EG10325	EG10958	EG10320	EG12057
EG10359	EG12116	EG10325	EG10958	EG10320	EG12058
EG10359	EG12116	EG10325	EG10958	EG10320	EG12059
EG10359	EG12116	EG10325	EG10958	EG10320	EG12060
EG10359	EG12116	EG10325	EG10958	EG10320	EG12061
EG10359	EG12116	EG10325	EG10958	EG10320	EG12062
EG10359	EG12116	EG10325	EG10958	EG10320	EG12064
EG10359	EG12116	EG10325	EG10958	EG10320	EG12067
EG10359	EG12116	EG10325	EG10958	EG10320	EG12143
EG10359	EG12116	EG10325	EG10958	EG10320	EG10391
EG10359	EG12116	EG10325	EG10958	EG10320	EG10392
EG10359	EG12116	EG10325	EG10958	EG10320	EG10393
EG11609	EG12243	EG10317	EG10457	EG11544	EG10182
EG11609	EG12243	EG10317	EG10457	EG11544	EG10181
EG11609	EG12243	EG10317	EG10457	EG11544	EG10180
EG11609	EG12243	EG10317	EG10457	EG11544	EG10179
EG11609	EG12243	EG10317	EG10457	EG11544	EG10178
EG11609	EG12243	G7047	EG10457	EG11544	EG10547
EG11966	EG10317	G7047	EG10457	EG12243	EG10510
G6789	EG12243	EG10317	EG10457	EG11544	EG10182
G6789	EG12243	EG10317	EG10457	EG11544	EG10181
G6789	EG12243	EG10317	EG10457	EG11544	EG10180
G6789	EG12243	EG10317	EG10457	EG11544	EG10179
G6789	EG12243	EG10317	EG10457	EG11544	EG10178
G6789	EG12243	G7047	EG10457	EG11544	EG10547
EG11544	G7047	EG10317	EG10457	EG10547	EG11013
EG11544	G7047	EG10317	EG10457	EG10547	EG11612
EG11544	G7047	EG10317	EG10457	EG10547	EG12082
EG11544	G7047	EG10317	EG10457	EG10547	EG30058
EG11544	G7047	EG10317	EG10457	EG10547	EG10509
EG11544	G7047	EG10317	EG10457	EG10547	G6619
EG11544	G7047	EG10317	EG10457	EG10547	EG10389
EG11544	G7047	EG10317	EG10457	EG10547	EG10387
EG11544	G7047	EG10317	EG10457	EG10547	EG10383
EG11544	G7047	EG10317	EG10457	EG10547	EG11490
EG11544	G7047	EG10317	EG10457	EG10547	EG10220
EG11544	G7047	EG10317	EG10457	EG10547	G7596
EG11544	G7047	EG10317	EG10457	EG10547	EG10046
EG11544	G7047	EG10317	EG10457	EG10547	EG11158
EG11544	G7047	EG10317	EG10457	EG10547	EG30099
EG11544	G7047	EG10317	EG10457	EG10547	EG10031
EG11544	G7047	EG10317	EG10457	EG10547	EG11391
EG11544	G7047	EG10317	EG10457	EG10547	EG30091
EG11544	G7047	EG10317	EG10457	EG10547	EG30103
EG11544	G7047	EG10317	EG10457	EG10547	EG30073
EG11544	G7047	EG10317	EG10457	EG10547	EG30080
EG11544	G7047	EG10317	EG10457	EG10547	EG30009
EG11544	G7047	EG10317	EG10457	EG10547	EG30044
EG11544	G7047	EG10317	EG10457	EG10547	EG30087
EG11544	G7047	EG10317	EG10457	EG10547	EG30076
EG11544	G7047	EG10317	EG10457	EG10547	EG30083
EG11544	G7047	EG10317	EG10457	EG10547	EG30010
EG11544	G7047	EG10317	EG10457	EG10547	EG30045
EG11544	G7047	EG10317	EG10457	EG10547	EG30090
EG11544	G7047	EG10317	EG10457	EG10547	EG30075
EG11544	G7047	EG10317	EG10457	EG10547	EG30082
EG11544	G7047	EG10317	EG10457	EG10547	EG30035
EG11544	G7047	EG10317	EG10457	EG10547	EG30089
EG11544	G7047	EG10317	EG10457	EG10547	EG30074
EG11544	G7047	EG10317	EG10457	EG10547	EG30081
EG11544	G7047	EG10317	EG10457	EG10547	EG30034
EG11544	G7047	EG10317	EG10457	EG10547	EG30088
EG11544	G7047	EG10317	EG10457	EG10547	EG30072
EG11544	G7047	EG10317	EG10457	EG10547	EG30079
EG11544	G7047	EG10317	EG10457	EG10547	EG30033
EG11544	G7047	EG10317	EG10457	EG10547	EG30086
EG11544	G7047	EG10317	EG10457	EG10547	EG30070
EG11544	G7047	EG10317	EG10457	EG10547	EG30077
EG11544	G7047	EG10317	EG10457	EG10547	EG30008
EG11544	G7047	EG10317	EG10457	EG10547	EG30043
EG11544	G7047	EG10317	EG10457	EG10547	EG30084
EG11544	G7047	EG10317	EG10457	EG10547	EG30071
EG11544	G7047	EG10317	EG10457	EG10547	EG30078
EG11544	G7047	EG10317	EG10457	EG10547	EG30032
EG11544	G7047	EG10317	EG10457	EG10547	EG30085
EG11544	EG10317	G7047	EG10457	EG12243	EG10510
EG10821	EG10317	G7047	EG10457	EG12243	EG10510
EG12242	EG10317	G7047	EG10457	EG12243	EG10510
EG11356	EG12243	EG10317	EG10457	EG11544	EG10182
EG11356	EG12243	EG10317	EG10457	EG11544	EG10181
EG11356	EG12243	EG10317	EG10457	EG11544	EG10180
EG11356	EG12243	EG10317	EG10457	EG11544	EG10179
EG11356	EG12243	EG10317	EG10457	EG11544	EG10178
EG11356	EG12243	G7047	EG10457	EG11544	EG10547
EG12243	G6789	EG10547	EG12242	EG11544	EG11400
EG12243	G6789	EG10547	EG12242	EG11544	EG11399
EG12243	G6789	EG10547	EG12242	EG11544	EG11398
EG10672	EG10338	EG10317	EG10164	EG11088	EG10649
EG10672	EG10338	EG10317	EG10164	EG11088	EG11784
G7072	EG10164	EG10958	EG10359	EG10672	EG11009
G7072	EG10164	EG10958	EG10359	EG10672	EG11366
G7072	EG10164	EG10958	EG10359	EG10672	EG30063
G7072	EG10164	EG10958	EG10359	EG10466	EG30063
EG11356	EG10164	EG10821	G6546	EG11544	EG11400
EG11356	EG10164	EG10821	G6546	EG11544	EG11399
EG11356	EG10164	EG10821	G6546	EG11544	EG11398
EG11544	EG11212	G6546	EG11356	EG10547	EG11256
EG11544	EG11212	G6546	EG11356	EG10547	EG10695
EG10820	EG10359	EG10325	G7072	EG10319	G7035
EG10820	EG10359	EG10325	G7072	EG10319	EG11781
EG10820	EG10359	EG10325	G7072	EG10319	EG11945
EG10820	EG10359	EG10325	G7072	EG10319	EG11946
EG10820	EG10359	EG10325	G7072	EG10319	EG11947
EG10820	EG10359	EG10325	G7072	EG10319	EG11948
EG10820	EG10359	EG10325	G7072	EG10319	EG11949
EG10820	EG10359	EG10325	G7072	EG10319	EG11950
EG10820	EG10359	EG10547	G7072	EG10319	EG11355
EG10820	EG10359	EG10325	G7072	EG10319	EG12052
EG10820	EG10359	EG10325	G7072	EG10319	EG12053
EG10820	EG10359	EG10325	G7072	EG10319	EG12054
EG10820	EG10359	EG10325	G7072	EG10319	EG12055
EG10820	EG10359	EG10325	G7072	EG10319	EG12169
EG10820	EG10359	EG10325	G7072	EG10319	EG12057
EG10820	EG10359	EG10325	G7072	EG10319	EG12058
EG10820	EG10359	EG10325	G7072	EG10319	EG12059
EG10820	EG10359	EG10325	G7072	EG10319	EG12060
EG10820	EG10359	EG10325	G7072	EG10319	EG12061
EG10820	EG10359	EG10325	G7072	EG10319	EG12062
EG10820	EG10359	EG10325	G7072	EG10319	EG12064
EG10820	EG10359	EG10325	G7072	EG10319	EG12067
EG10820	EG10359	EG10325	G7072	EG10319	EG12143
EG10820	EG10359	EG10325	G7072	EG10319	EG10391
EG10820	EG10359	EG10325	G7072	EG10319	EG10392
EG10820	EG10359	EG10325	G7072	EG10319	EG10393
EG10820	EG10359	EG10325	G7072	EG10320	G7035
EG10820	EG10359	EG10325	G7072	EG10320	EG11781
EG10820	EG10359	EG10325	G7072	EG10320	EG11945
EG10820	EG10359	EG10325	G7072	EG10320	EG11946
EG10820	EG10359	EG10325	G7072	EG10320	EG11947
EG10820	EG10359	EG10325	G7072	EG10320	EG11948
EG10820	EG10359	EG10325	G7072	EG10320	EG11949
EG10820	EG10359	EG10325	G7072	EG10320	EG11950
EG10820	EG10359	EG10547	G7072	EG10320	EG11355
EG10820	EG10359	EG10325	G7072	EG10320	EG12052
EG10820	EG10359	EG10325	G7072	EG10320	EG12053
EG10820	EG10359	EG10325	G7072	EG10320	EG12054
EG10820	EG10359	EG10325	G7072	EG10320	EG12055
EG10820	EG10359	EG10325	G7072	EG10320	EG12169
