R	U	V	W	X	Y
b0464	b3357	b1988	b3405	b4063	b4060
b0464	b3357	b1988	b3405	b4063	b2601
b0464	b1712	b1988	b3405	b4063	b4060
b0464	b1712	b1988	b3405	b4063	b2601
b0464	b1712	b3357	b3405	b4063	b1611
b0464	b0912	b1988	b3405	b4063	b4060
b0464	b0912	b1988	b3405	b4063	b2601
b0464	b0912	b3357	b3405	b4063	b1611
b0464	b1988	b3357 // b1712 // b0912	b3405	b4063	b3908
b0464	b1988	b3357	b3405	b4063	b1611
b0464	b4445	b1988	b3405	b4063	b4060
b0464	b4445	b3357 // b1712 // b0912	b3405	b4063	b3908
b0464	b4445	b1988	b3405	b4063	b2601
b0464	b4445	b3357	b3405	b4063	b1611
b0464	b4444	b1988	b3405	b4063	b4060
b0464	b4444	b3357 // b1712 // b0912	b3405	b4063	b3908
b0464	b4444	b1988	b3405	b4063	b2601
b0464	b4444	b3357	b3405	b4063	b1611
b1334	b3961	b4451	b0683	b4063	b3908
b1334	b4451	b3357	b0683	b4063	b3908
b1334	b4451	b3357	b0683	b4063	b1611
b4063	b3961	b4451	b0683	b4063	b3908
b4063	b4451	b3357	b0683	b4063	b3908
b4063	b4451	b3357	b0683	b4063	b1611
b4063	b1712	b4401	b1334	b4063	b1611
b4063	b0912	b4401	b1334	b4063	b1611
