Cause	Effect	Regulators	Mediators
b4062	b3110		b0447
b4062	b4470		b0447
b4062	b0117		b4396
b4062	b1431	b0889	b4396
b4062	b0820	b0889	b4396
b4062	b2077		b4396
b4062	b1224	b1334	b4396
b4062	b3049		b4396
b4062	b1218		b4396
b4062	b4068		b4396
b4062	b3153		b4396
b4062	b3555	b0889	b4396
b4062	b2344	b0889	b4396
b4062	b1805		b4396
b4062	b3845		b4396
b4062	b3846		b4396
b4062	b2266		b4396
b4062	b1748	b0889	b4396
b4062	b4067		b4396
b4062	b4069		b4396
b4062	b1415	b1334	b4396
b4062	b3160		b4396
b4062	b3028		b4396
b4062	b0168		b4396
b4062	b0167	b1334 // b0683	b4396
b4062	b0166		b4396
b4062	b0762	b0889	b4396
b4062	b1611	b1334 // b0683 // b4063	b4396
b4062	b0578		b4396
b4062	b1276	b1334	b4396
b4062	b0853	b0889	b4396
b4062	b0852		b4396
b4062	b0851		b4396
b4062	b0850		b4396
b4062	b3038		b4396
b4062	b3037		b4396
b4062	b3035		b4396
b4062	b3800		b4396
b4062	b2558		b4396
b4062	b0819		b4396
b4062	b2237		b4396
b4062	b1852	b1334 // b0683	b4396
b4062	b1530	b0464	b4396
b4062	b1531	b0464	b4396
b4062	b1532	b0464	b4396
b4062	b3908	b1334 // b0683 // b4063	b4396
b4062	b4439	b0464 // b0889	b4396
b4062	b2159		b4396
b4062	b0463	b0464	b4396
b4062	b0462	b0464	b4396
b4062	b4367		b0683
b4062	b0150		b0683
b4062	b0151		b0683
b4062	b0152		b0683
b4062	b0153		b0683
b4062	b4287		b0683
b4062	b4288		b0683
b4062	b4289		b0683
b4062	b4290		b0683
b4062	b4291		b0683
b4062	b0583		b0683
b4062	b0584		b0683
b4062	b3410	b1334	b0683
b4062	b3408	b1334	b0683
b4062	b3409	b1334	b0683
b4062	b1679		b0683
b4062	b1680		b0683
b4062	b1681		b0683
b4062	b1682		b0683
b4062	b1683		b0683
b4062	b1684		b0683
b4062	b4707		b0683
b4062	b1256	b1334	b0683
b4062	b4063	b1334 // b0464	b0683
b4062	b3212	b1334 // b0889	b0683
b4062	b3213	b1334 // b0889	b0683
b4062	b3214	b1334 // b0889	b0683
b4062	b3070		b0683
b4062	b2579	b1334	b0683
b4062	b2029	b1334	b0683
b4062	b1988	b1334 // b0889	b0683
b4062	b1852	b1334	b0683
b4062	b1761	b1334 // b0889	b0683
b4062	b1611	b1334 // b4063	b0683
b4062	b1334		b0683
b4062	b0451	b1334	b0683
b4062	b0450	b1334 // b0889	b0683
b4062	b1109	b1334	b0683
b4062	b0928	b1334 // b0889	b0683
b4062	b0167	b1334	b0683
b4062	b0116	b1334	b0683
b4062	b1821		b0683
b4062	b1062		b0683
b4062	b3123	b1334	b0683
b4062	b3124	b1334	b0683
b4062	b3125	b1334	b0683
b4062	b3126	b1334	b0683
