u	x	m	y	r1.belief	r2.belief	r3.belief	r4.belief
hgnc:2345	hgnc:4234	hgnc:1527	hgnc:1736	0.99	0.95	0.99	0.99
hgnc:11998	hgnc:1508	hgnc:16028	hgnc:17635	1.0	0.99	0.95	1.0
hgnc:11998	hgnc:1508	hgnc:16028	hgnc:17635	1.0	0.99	0.95	0.95
hgnc:4597	hgnc:9966	hgnc:24323	hgnc:1817	0.99	1.0	0.95	0.98
hgnc:10965	hgnc:9052	hgnc:11289	hgnc:20001	0.95	1.0	1.0	0.95
hgnc:19157	hgnc:7775	hgnc:9588	hgnc:20995	1.0	0.99	0.95	0.95
hgnc:7727	hgnc:1709	hgnc:5962	hgnc:2527	0.95	0.95	0.95	0.95
hgnc:1885	hgnc:5013	hgnc:882	hgnc:2594	0.95	0.95	0.95	0.98
hgnc:14929	hgnc:1069	hgnc:8893	hgnc:3255	0.99	0.99	0.95	0.98
hgnc:3229	hgnc:6112	hgnc:6122	hgnc:3263	0.99	0.99	0.99	0.98
hgnc:3229	hgnc:6112	hgnc:6122	hgnc:3263	0.99	1.0	0.99	0.98
hgnc:2321	hgnc:10436	hgnc:3214	hgnc:3300	0.99	1.0	0.95	0.95
hgnc:3676	hgnc:2665	hgnc:795	hgnc:3357	1.0	1.0	1.0	0.99
hgnc:1510	hgnc:9644	hgnc:11850	hgnc:3443	1.0	0.95	0.95	0.95
hgnc:11927	hgnc:6859	hgnc:25697	hgnc:3541	1.0	0.95	0.98	0.99
hgnc:11919	hgnc:6859	hgnc:25697	hgnc:3541	1.0	0.95	0.98	0.99
hgnc:3535	hgnc:9596	hgnc:14900	hgnc:391	0.95	0.95	1.0	1.0
hgnc:427	hgnc:9801	hgnc:3092	hgnc:4317	1.0	1.0	0.98	1.0
hgnc:241	hgnc:9801	hgnc:3092	hgnc:4317	1.0	1.0	0.98	0.95
hgnc:4983	hgnc:6871	hgnc:7590	hgnc:4551	0.98	1.0	0.95	0.95
hgnc:3685	hgnc:11936	hgnc:3535	hgnc:4551	0.95	0.95	0.95	0.95
hgnc:11246	hgnc:11027	hgnc:5434	hgnc:4893	0.95	0.99	1.0	1.0
hgnc:17955	hgnc:6854	hgnc:6881	hgnc:4910	0.99	1.0	0.95	1.0
hgnc:17955	hgnc:6854	hgnc:6881	hgnc:4910	0.99	1.0	0.95	0.95
hgnc:5991	hgnc:5013	hgnc:882	hgnc:497	0.95	0.95	0.99	0.95
hgnc:5991	hgnc:5013	hgnc:882	hgnc:497	0.99	0.95	0.99	0.95
hgnc:8636	hgnc:710	hgnc:9201	hgnc:5006	0.98	0.95	0.95	0.95
hgnc:11749	hgnc:9623	hgnc:6001	hgnc:5362	0.99	0.95	0.95	0.99
hgnc:16951	hgnc:12666	hgnc:14665	hgnc:5992	0.95	0.95	0.95	0.95
hgnc:195	hgnc:12862	hgnc:6001	hgnc:6019	0.95	1.0	0.95	1.0
hgnc:1663	hgnc:24288	hgnc:8582	hgnc:6025	0.95	0.98	0.95	0.98
hgnc:9235	hgnc:16877	hgnc:29233	hgnc:6025	0.95	1.0	1.0	0.99
hgnc:10513	hgnc:5208	hgnc:11898	hgnc:6025	0.95	0.95	1.0	1.0
hgnc:12524	hgnc:11926	hgnc:6881	hgnc:6091	0.95	1.0	0.99	0.95
