index	left	right	given	chi^2	p	dof	Holm–Bonferroni level	flagged
0	hgnc:1736	hgnc:4234	hgnc:1527|hgnc:2345	0.0	0		0.016666666666666666	True
0	hgnc:1527	hgnc:2345	hgnc:4234	0.0	0		0.025	True
1	hgnc:1508	hgnc:17635	hgnc:11998|hgnc:16028	0.0	0		0.016666666666666666	True
1	hgnc:11998	hgnc:16028	hgnc:1508	0.0	0		0.025	True
2	hgnc:1508	hgnc:17635	hgnc:11998|hgnc:16028	0.0	0		0.016666666666666666	True
2	hgnc:11998	hgnc:16028	hgnc:1508	0.0	0		0.025	True
3	hgnc:24323	hgnc:4597	hgnc:9966	0.0	0		0.016666666666666666	True
3	hgnc:1817	hgnc:9966	hgnc:24323|hgnc:4597	0.0	0		0.025	True
4	hgnc:10965	hgnc:11289	hgnc:9052	0.0	0		0.016666666666666666	True
4	hgnc:20001	hgnc:9052	hgnc:10965|hgnc:11289	0.0	0		0.025	True
5	hgnc:20995	hgnc:7775	hgnc:19157|hgnc:9588	0.0	0		0.016666666666666666	True
5	hgnc:19157	hgnc:9588	hgnc:7775	0.0	0		0.025	True
6	hgnc:5962	hgnc:7727	hgnc:1709	0.0	0		0.016666666666666666	True
6	hgnc:1709	hgnc:2527	hgnc:5962|hgnc:7727	0.0	0		0.025	True
7	hgnc:1885	hgnc:882	hgnc:5013	0.0	0		0.016666666666666666	True
7	hgnc:2594	hgnc:5013	hgnc:1885|hgnc:882	0.0	0		0.025	True
8	hgnc:14929	hgnc:8893	hgnc:1069	0.0	0		0.016666666666666666	True
8	hgnc:1069	hgnc:3255	hgnc:14929|hgnc:8893	0.0	0		0.025	True
9	hgnc:3263	hgnc:6112	hgnc:3229|hgnc:6122	0.0	0		0.016666666666666666	True
9	hgnc:3229	hgnc:6122	hgnc:6112	0.0	0		0.025	True
10	hgnc:3263	hgnc:6112	hgnc:3229|hgnc:6122	0.0	0		0.016666666666666666	True
10	hgnc:3229	hgnc:6122	hgnc:6112	0.0	0		0.025	True
11	hgnc:10436	hgnc:3300	hgnc:2321|hgnc:3214	0.0	0		0.016666666666666666	True
11	hgnc:2321	hgnc:3214	hgnc:10436	0.0	0		0.025	True
12	hgnc:2665	hgnc:3357	hgnc:3676|hgnc:795	0.0	0		0.016666666666666666	True
12	hgnc:3676	hgnc:795	hgnc:2665	0.0	0		0.025	True
13	hgnc:11850	hgnc:1510	hgnc:9644	0.0	0		0.016666666666666666	True
13	hgnc:3443	hgnc:9644	hgnc:11850|hgnc:1510	0.0	0		0.025	True
14	hgnc:3541	hgnc:6859	hgnc:11927|hgnc:25697	0.0	0		0.016666666666666666	True
14	hgnc:11927	hgnc:25697	hgnc:6859	0.0	0		0.025	True
15	hgnc:3541	hgnc:6859	hgnc:11919|hgnc:25697	0.0	0		0.016666666666666666	True
15	hgnc:11919	hgnc:25697	hgnc:6859	0.0	0		0.025	True
16	hgnc:14900	hgnc:3535	hgnc:9596	0.0	0		0.016666666666666666	True
16	hgnc:391	hgnc:9596	hgnc:14900|hgnc:3535	0.0	0		0.025	True
17	hgnc:4317	hgnc:9801	hgnc:3092|hgnc:427	0.0	0		0.016666666666666666	True
17	hgnc:3092	hgnc:427	hgnc:9801	0.0	0		0.025	True
18	hgnc:4317	hgnc:9801	hgnc:241|hgnc:3092	0.0	0		0.016666666666666666	True
18	hgnc:241	hgnc:3092	hgnc:9801	0.0	0		0.025	True
19	hgnc:4983	hgnc:7590	hgnc:6871	0.0	0		0.016666666666666666	True
19	hgnc:4551	hgnc:6871	hgnc:4983|hgnc:7590	0.0	0		0.025	True
20	hgnc:11936	hgnc:4551	hgnc:3535|hgnc:3685	0.0	0		0.016666666666666666	True
20	hgnc:3535	hgnc:3685	hgnc:11936	0.0	0		0.025	True
21	hgnc:11027	hgnc:4893	hgnc:11246|hgnc:5434	0.0	0		0.016666666666666666	True
21	hgnc:11246	hgnc:5434	hgnc:11027	0.0	0		0.025	True
22	hgnc:4910	hgnc:6854	hgnc:17955|hgnc:6881	0.0	0		0.016666666666666666	True
22	hgnc:17955	hgnc:6881	hgnc:6854	0.0	0		0.025	True
23	hgnc:4910	hgnc:6854	hgnc:17955|hgnc:6881	0.0	0		0.016666666666666666	True
23	hgnc:17955	hgnc:6881	hgnc:6854	0.0	0		0.025	True
24	hgnc:497	hgnc:5013	hgnc:5991|hgnc:882	0.0	0		0.016666666666666666	True
24	hgnc:5991	hgnc:882	hgnc:5013	0.0	0		0.025	True
25	hgnc:497	hgnc:5013	hgnc:5991|hgnc:882	0.0	0		0.016666666666666666	True
25	hgnc:5991	hgnc:882	hgnc:5013	0.0	0		0.025	True
26	hgnc:5006	hgnc:710	hgnc:8636|hgnc:9201	0.0	0		0.016666666666666666	True
26	hgnc:8636	hgnc:9201	hgnc:710	0.0	0		0.025	True
27	hgnc:5362	hgnc:9623	hgnc:11749|hgnc:6001	0.0	0		0.016666666666666666	True
27	hgnc:11749	hgnc:6001	hgnc:9623	0.0	0		0.025	True
28	hgnc:12666	hgnc:5992	hgnc:14665|hgnc:16951	0.0	0		0.016666666666666666	True
28	hgnc:14665	hgnc:16951	hgnc:12666	0.0	0		0.025	True
