Cause	Effect	Regulators	Mediators
b3515	b4057	b0889	b3512
b3515	b4056	b0889	b3512
b3515	b3508	b0889	b3512
b3515	b3509	b0889	b3512
b3515	b3510	b0889	b3512
b3515	b1923		b3512
b3515	b0181		b3512
b3515	b0180		b3512
b3515	b0179		b3512
b3515	b0178		b3512
b3515	b4177		b3512
b3515	b3511		b3512
b3515	b2029	b1334	b3512
b3515	b4718		b3512
b3515	b3514		b3512
b3515	b3513		b3512
b3515	b0428	b1334	b3512
b3515	b0429	b1334	b3512
b3515	b0430	b1334	b3512
b3515	b0431	b1334	b3512
b3515	b0432	b1334	b3512
b3515	b1951		b3512
b3515	b3212	b0889 // b1334	b3512
b3515	b3213	b0889 // b1334	b3512
b3515	b3214	b2664 // b0889 // b1334	b3512
b3515	b0889		b3512
b3515	b1492		b3512
b3515	b1493	b0889	b3512
b3515	b3491	b0889	b3512
b3515	b3800		b3512
b3515	b3507	b2664	b3512
b3515	b3506		b3512
b3515	b4131	b0889	b3512
b3515	b4132	b0889	b3512
b3515	b4115	b0399	b3512
b3515	b3516	b2664 // b1334 // b1013 // b0399 // b4452	b3512
b3515	b3517	b1334	b3512
b3515	b1634	b0889	b3516
b3515	b1584		b3516
b3515	b1583		b3516
b3515	b1497		b3516
b3515	b1498	b0889	b3516
b3515	b3967		b3516
b3515	b3966		b3516
b3515	b1333	b0889	b3516
b3515	b3507	b1499	b3516
b3515	b3506	b1499	b3516
b3515	b4452	b0889 // b1916	b3516
b3515	b4718	b1499 // b1130	b3516
b3515	b3514	b1499	b3516
b3515	b3513	b1499	b3516
b3515	b3512	b1499 // b1130	b3516
b3515	b0486		b3516
b3515	b0485		b3516
b3515	b0674	b0889	b3516
b3515	b3511	b1130	b3516
b3515	b4131	b0889	b3516
b3515	b4132	b0889	b3516
b3515	b1237		b3516
b3515	b2741		b3516
b3515	b0439		b3516
b3515	b3517		b3516
b3515	b1492		b3516
b3515	b1493	b0889	b3516
b3515	b0451		b3516
b3515	b0450	b0889	b3516
b3515	b3508	b0889 // b1130	b3516
b3515	b3509	b0889 // b1130	b3516
b3515	b3510	b0889 // b1130	b3516
