Cause	Effect	Regulators	Mediators
b3405	b4131		b4133
b3405	b4132		b4133
b3405	b0117		b4396
b3405	b1431		b4396
b3405	b0820	b3357	b4396
b3405	b2077		b4396
b3405	b1224	b0912 // b1712	b4396
b3405	b3049	b3357	b4396
b3405	b1218		b4396
b3405	b4068	b0912 // b1712 // b3357	b4396
b3405	b3153		b4396
b3405	b3555		b4396
b3405	b2344	b3357	b4396
b3405	b1805	b3357	b4396
b3405	b3845		b4396
b3405	b3846		b4396
b3405	b2266		b4396
b3405	b1748		b4396
b3405	b4067	b0912 // b1712 // b3357	b4396
b3405	b4069	b0912 // b1712 // b3357	b4396
b3405	b1415	b3357	b4396
b3405	b3160		b4396
b3405	b3028		b4396
b3405	b0168	b1988	b4396
b3405	b0167		b4396
b3405	b0166		b4396
b3405	b0762		b4396
b3405	b1611	b3357	b4396
b3405	b0578		b4396
b3405	b1276	b3357	b4396
b3405	b0853		b4396
b3405	b0852		b4396
b3405	b0851		b4396
b3405	b0850		b4396
b3405	b3038		b4396
b3405	b3037		b4396
b3405	b3035		b4396
b3405	b3800		b4396
b3405	b2558		b4396
b3405	b0819	b3357	b4396
b3405	b2237		b4396
b3405	b1852		b4396
b3405	b1530	b1988 // b3357	b4396
b3405	b1531	b3357	b4396
b3405	b1532	b3357	b4396
b3405	b3908	b0912 // b1712 // b3357	b4396
b3405	b4439	b0912 // b1712	b4396
b3405	b2159		b4396
b3405	b0463		b4396
b3405	b0462		b4396
b3405	b0096		b0113
b3405	b0095		b0113
b3405	b0094		b0113
b3405	b0093		b0113
b3405	b0092		b0113
b3405	b0091		b0113
b3405	b0090		b0113
b3405	b0089		b0113
b3405	b0088		b0113
b3405	b0087		b0113
b3405	b0086		b0113
b3405	b0085		b0113
b3405	b0084		b0113
b3405	b0083		b0113
b3405	b0082		b0113
b3405	b0081		b0113
b3405	b2975	b1988 // b0912 // b1712	b0113
b3405	b2976	b0912 // b1712	b0113
b3405	b2977	b0912 // b1712	b0113
b3405	b4467	b0912 // b1712	b0113
b3405	b4468	b0912 // b1712	b0113
b3405	b2979	b0912 // b1712	b0113
b3405	b0154		b0113
b3405	b0461	b1988	b0113
b3405	b0460		b0113
b3405	b0428		b0113
b3405	b0429		b0113
b3405	b0430		b0113
b3405	b0431		b0113
b3405	b0432		b0113
b3405	b1109	b0912 // b1712	b0113
b3405	b2579		b0113
b3405	b4287		b0113
b3405	b4288		b0113
b3405	b4289		b0113
b3405	b4290		b0113
b3405	b4291		b0113
b3405	b0114		b0113
b3405	b0115		b0113
b3405	b0116		b0113
b3405	b1891	b4444 // b4445 // b0912 // b1712 // b3357	b0464
b3405	b1892	b4444 // b4445 // b0912 // b1712 // b3357	b0464
b3405	b4062		b0464
b3405	b4063		b0464
b3405	b1530	b1988 // b3357	b0464
b3405	b1531	b3357	b0464
b3405	b1532	b3357	b0464
b3405	b4439	b0912 // b1712	b0464
b3405	b0463		b0464
b3405	b0462		b0464
b3405	b1083		b1891
b3405	b1082		b1891
b3405	b1878		b1891
b3405	b1879		b1891
b3405	b1880		b1891
b3405	b1904		b1891
b3405	b1073		b1891
b3405	b1074		b1891
b3405	b1075		b1891
b3405	b1076		b1891
b3405	b1077		b1891
b3405	b1078		b1891
b3405	b1079		b1891
b3405	b1080		b1891
b3405	b1081		b1891
b3405	b1070		b1891
b3405	b1071		b1891
b3405	b1072		b1891
b3405	b4763		b1891
b3405	b0652		b1891
b3405	b0653		b1891
b3405	b0654		b1891
b3405	b0655		b1891
b3405	b1943		b1891
b3405	b1942		b1891
b3405	b1941		b1891
b3405	b1940		b1891
b3405	b1939		b1891
b3405	b1938		b1891
b3405	b1937		b1891
b3405	b1924	b1988	b1891
b3405	b1925		b1891
b3405	b1926		b1891
b3405	b3525		b1891
b3405	b1194		b1891
b3405	b4070		b1891
b3405	b4071		b1891
b3405	b4072		b1891
b3405	b4073		b1891
b3405	b4074		b1891
b3405	b4075	b1988	b1891
b3405	b4076	b1988	b1891
b3405	b3236		b1891
b3405	b2148		b1891
b3405	b2149	b1988	b1891
b3405	b2150	b1988	b1891
b3405	b1920		b1891
b3405	b1921		b1891
b3405	b1922		b1891
b3405	b2712		b1891
b3405	b2713		b1891
b3405	b2194	b1988	b1891
b3405	b2195		b1891
b3405	b2196		b1891
b3405	b2197		b1891
b3405	b2198		b1891
b3405	b2199		b1891
b3405	b2200	b1988	b1891
b3405	b2201	b1988	b1891
b3405	b2202	b1988	b1891
b3405	b2203	b1988	b1891
b3405	b2204		b1891
b3405	b2205		b1891
b3405	b2206		b1891
b3405	b2207		b1891
b3405	b2208		b1891
b3405	b1944		b1891
b3405	b1945		b1891
b3405	b1946		b1891
b3405	b1947		b1891
b3405	b1948		b1891
b3405	b1949		b1891
b3405	b1950		b1891
b3405	b2241		b1891
b3405	b2242		b1891
b3405	b2243		b1891
b3405	b2826		b1891
b3405	b2825		b1891
b3405	b2824	b1988	b1891
b3405	b2823	b1988	b1891
b3405	b2822		b1891
b3405	b2737		b1891
b3405	b1083		b1892
b3405	b1082		b1892
b3405	b1878		b1892
b3405	b1879		b1892
b3405	b1880		b1892
b3405	b1904		b1892
b3405	b1073		b1892
b3405	b1074		b1892
b3405	b1075		b1892
b3405	b1076		b1892
b3405	b1077		b1892
b3405	b1078		b1892
b3405	b1079		b1892
b3405	b1080		b1892
b3405	b1081		b1892
b3405	b1070		b1892
b3405	b1071		b1892
b3405	b1072		b1892
b3405	b4763		b1892
b3405	b0652		b1892
b3405	b0653		b1892
b3405	b0654		b1892
b3405	b0655		b1892
b3405	b1943		b1892
b3405	b1942		b1892
b3405	b1941		b1892
b3405	b1940		b1892
b3405	b1939		b1892
b3405	b1938		b1892
b3405	b1937		b1892
b3405	b1924	b1988	b1892
b3405	b1925		b1892
b3405	b1926		b1892
b3405	b3525		b1892
b3405	b1194		b1892
b3405	b4070		b1892
b3405	b4071		b1892
b3405	b4072		b1892
b3405	b4073		b1892
b3405	b4074		b1892
b3405	b4075	b1988	b1892
b3405	b4076	b1988	b1892
b3405	b3236		b1892
b3405	b2148		b1892
b3405	b2149	b1988	b1892
b3405	b2150	b1988	b1892
b3405	b1920		b1892
b3405	b1921		b1892
b3405	b1922		b1892
b3405	b2712		b1892
b3405	b2713		b1892
b3405	b2194	b1988	b1892
b3405	b2195		b1892
b3405	b2196		b1892
b3405	b2197		b1892
b3405	b2198		b1892
b3405	b2199		b1892
b3405	b2200	b1988	b1892
b3405	b2201	b1988	b1892
b3405	b2202	b1988	b1892
b3405	b2203	b1988	b1892
b3405	b2204		b1892
b3405	b2205		b1892
b3405	b2206		b1892
b3405	b2207		b1892
b3405	b2208		b1892
b3405	b1944		b1892
b3405	b1945		b1892
b3405	b1946		b1892
b3405	b1947		b1892
b3405	b1948		b1892
b3405	b1949		b1892
b3405	b1950		b1892
b3405	b2241		b1892
b3405	b2242		b1892
b3405	b2243		b1892
b3405	b2826		b1892
b3405	b2825		b1892
b3405	b2824	b1988	b1892
b3405	b2823	b1988	b1892
b3405	b2822		b1892
b3405	b2737		b1892
b3405	b1920		b1040
b3405	b1921		b1040
b3405	b1922		b1040
b3405	b1070		b1040
b3405	b1071		b1040
b3405	b1004	b1988	b1040
b3405	b1003		b1040
b3405	b3661		b1040
b3405	b0964		b1040
b3405	b1937		b1040
b3405	b1943		b1040
b3405	b1942		b1040
b3405	b1941		b1040
b3405	b1940		b1040
b3405	b1939		b1040
b3405	b1938		b1040
b3405	b3156		b1040
b3405	b3157	b1988	b1040
b3405	b0382	b1988	b1040
b3405	b0385		b1040
b3405	b0237		b1040
b3405	b1037		b1040
b3405	b1038		b1040
b3405	b1039		b1040
b3405	b1043		b1040
b3405	b1041		b1040
b3405	b1042		b1040
b3405	b4320	b0912 // b1712	b0435
b3405	b1037	b4444 // b4445 // b0912 // b1712 // b3357	b0435
b3405	b1038	b4444 // b4445 // b0912 // b1712 // b3357	b0435
b3405	b1039	b4444 // b4445 // b0912 // b1712 // b3357	b0435
b3405	b1040	b4444 // b4445 // b0912 // b1712 // b3357	b0435
b3405	b1042		b0435
b3405	b0839		b0435
b3405	b4150		b0435
b3405	b3249		b0435
b3405	b3250	b1988	b0435
b3405	b3251		b0435
