R	U	V	W	X	Y
b4063	b3357	b4451	b0683	b4062	b4637
b4063	b3961	b4451	b0683	b4062	b1531
b4063	b3961	b4451	b0683	b4062	b3908
b4063	b4451	b3357	b0683	b4062	b1256
b4063	b4451	b3357	b0683	b4062	b1415
b4063	b4451	b3357	b0683	b4062	b1276
b4063	b4451	b3357	b0683	b4062	b1101
b4063	b4451	b3961	b0683	b4062	b1973
b4063	b4451	b3961	b0683	b4062	b4637
b4063	b4451	b3961	b0683	b4062	b0853
b4063	b4451	b3961	b0683	b4062	b0852
b4063	b4451	b3961	b0683	b4062	b0851
b4063	b4451	b3961	b0683	b4062	b0850
b4063	b4451	b3357	b0683	b4062	b1530
b4063	b4451	b3357	b0683	b4062	b1531
b4063	b4451	b3357	b0683	b4062	b1532
b4063	b4451	b3357	b0683	b4062	b1611
b4063	b4451	b3357	b0683	b4062	b3908
b4063	b4451	b3961	b0683	b4062	b0871
b4063	b1712	b4401	b1334	b4062	b1256
b4063	b1712	b4401	b1334	b4062	b1415
b4063	b1712	b4401	b1334	b4062	b1276
b4063	b1712	b4401	b1334	b4062	b1101
b4063	b1712	b4401	b1334	b4062	b1611
b4063	b0912	b4401	b1334	b4062	b1256
b4063	b0912	b4401	b1334	b4062	b1415
b4063	b0912	b4401	b1334	b4062	b1276
b4063	b0912	b4401	b1334	b4062	b1101
b4063	b0912	b4401	b1334	b4062	b1611
b0889	b4704	b4401 // b3357	b3512	b4062	b1256
b0889	b4704	b1130	b3512	b4062	b3207
b0889	b4704	b4401 // b3357	b3512	b4062	b1415
b0889	b4704	b4401 // b3357	b3512	b4062	b1276
b0889	b4704	b1130	b3512	b4062	b3038
b0889	b4704	b1130	b3512	b4062	b3037
b0889	b4704	b1130	b3512	b4062	b3035
b0889	b4704	b4401 // b3357	b3512	b4062	b1101
b0889	b4704	b3357	b3512	b4062	b0683
b0889	b4704	b3357	b3512	b4062	b1530
b0889	b4704	b3357	b3512	b4062	b1531
b0889	b4704	b3357	b3512	b4062	b1532
b0889	b4704	b4401 // b3357	b3512	b4062	b1611
b0889	b4704	b4401 // b3357	b3512	b4062	b3908
b0889	b4704	b4401	b3512	b4062	b4439
b0889	b4704	b1130	b3512	b4062	b0463
b0889	b4704	b1130	b3512	b4062	b0462
b0889	b4401	b1130	b3512	b4062	b3207
b0889	b4401	b1130	b3512	b4062	b3038
b0889	b4401	b1130	b3512	b4062	b3037
b0889	b4401	b1130	b3512	b4062	b3035
b0889	b4401	b3357	b3512	b4062	b0683
b0889	b4401	b3357	b3512	b4062	b1530
b0889	b4401	b3357	b3512	b4062	b1531
b0889	b4401	b3357	b3512	b4062	b1532
b0889	b4401	b1130	b3512	b4062	b0463
b0889	b4401	b1130	b3512	b4062	b0462
b0889	b1130	b4401 // b3357	b3512	b4062	b1256
b0889	b1130	b4401 // b3357	b3512	b4062	b1415
b0889	b1130	b4401 // b3357	b3512	b4062	b1276
b0889	b1130	b4401 // b3357	b3512	b4062	b1101
b0889	b1130	b3357	b3512	b4062	b0683
b0889	b1130	b3357	b3512	b4062	b1530
b0889	b1130	b3357	b3512	b4062	b1531
b0889	b1130	b3357	b3512	b4062	b1532
b0889	b1130	b4401 // b3357	b3512	b4062	b1611
b0889	b1130	b4401 // b3357	b3512	b4062	b3908
b0889	b1130	b4401	b3512	b4062	b4439
b0889	b3516	b1130	b3512	b4062	b3207
b0889	b3516	b1130	b3512	b4062	b3038
b0889	b3516	b1130	b3512	b4062	b3037
b0889	b3516	b1130	b3512	b4062	b3035
b0889	b3516	b1130	b3512	b4062	b0463
b0889	b3516	b1130	b3512	b4062	b0462
b0889	b2369	b4401 // b3357	b3512	b4062	b1256
b0889	b2369	b1130	b3512	b4062	b3207
b0889	b2369	b4401 // b3357	b3512	b4062	b1415
b0889	b2369	b4401 // b3357	b3512	b4062	b1276
b0889	b2369	b1130	b3512	b4062	b3038
b0889	b2369	b1130	b3512	b4062	b3037
b0889	b2369	b1130	b3512	b4062	b3035
b0889	b2369	b4401 // b3357	b3512	b4062	b1101
