Cause	Effect	Regulators	Mediators
b4063	b1256		b4062
b4063	b3662		b4062
b4063	b3207		b4062
b4063	b0447		b4062
b4063	b1415		b4062
b4063	b3160		b4062
b4063	b3028		b4062
b4063	b0168		b4062
b4063	b0167		b4062
b4063	b0166		b4062
b4063	b1377		b4062
b4063	b1378		b4062
b4063	b0762		b4062
b4063	b4396		b4062
b4063	b0578		b4062
b4063	b1276		b4062
b4063	b3624		b4062
b4063	b3625		b4062
b4063	b3038		b4062
b4063	b3037		b4062
b4063	b3035		b4062
b4063	b4025		b4062
b4063	b1101		b4062
b4063	b1973		b4062
b4063	b0684		b4062
b4063	b4637		b4062
b4063	b0683		b4062
b4063	b0853		b4062
b4063	b0852		b4062
b4063	b0851		b4062
b4063	b0850		b4062
b4063	b2237		b4062
b4063	b2895		b4062
b4063	b1277		b4062
b4063	b1852		b4062
b4063	b1530		b4062
b4063	b1531		b4062
b4063	b1532		b4062
b4063	b1611		b4062
b4063	b3908		b4062
b4063	b4439		b4062
b4063	b2159		b4062
b4063	b3924		b4062
b4063	b0952		b4062
b4063	b0951		b4062
b4063	b0950		b4062
b4063	b0871		b4062
b4063	b0463		b4062
b4063	b0462		b4062
