R	U	V	W	X	Y
b3357	b1712	b0911	b3261	b3357	b1818
b3357	b1712	b0911	b3261	b3357	b3164
b3357	b1712	b0911	b3261	b3357	b3165
b3357	b0912	b0911	b3261	b3357	b1818
b3357	b0912	b0911	b3261	b3357	b3164
b3357	b0912	b0911	b3261	b3357	b3165
b3357	b0911	b1712 // b0912	b3261	b3357	b0726
b3357	b0911	b1712 // b0912	b3261	b3357	b0727
b3357	b0911	b1712 // b0912	b3261	b3357	b0728
b3357	b0911	b1712 // b0912	b3261	b3357	b0729
b3357	b0911	b1712 // b0912	b3261	b3357	b4725
b3357	b0911	b1712 // b0912	b3261	b3357	b2570
b3357	b0911	b1712 // b0912	b3261	b3357	b2571
b3357	b0911	b1712 // b0912	b3261	b3357	b2572
b3357	b0911	b1712 // b0912	b3261	b3357	b2573
b3357	b0911	b1712 // b0912	b3261	b3357	b1656
b3357	b0911	b1712 // b0912	b3261	b3357	b0124
b3357	b0911	b1712 // b0912	b3261	b3357	b0125
b3357	b0911	b1712 // b0912	b3261	b3357	b4067
b3357	b0911	b1712 // b0912	b3261	b3357	b4068
b3357	b0911	b1712 // b0912	b3261	b3357	b4069
b3357	b0911	b1712 // b0912	b3261	b3357	b4198
b3357	b0911	b1712 // b0912	b3261	b3357	b4197
b3357	b0911	b1712 // b0912	b3261	b3357	b4196
b3357	b0911	b1712 // b0912	b3261	b3357	b4195
b3357	b0911	b1712 // b0912	b3261	b3357	b4194
b3357	b0911	b1712 // b0912	b3261	b3357	b4193
b3357	b0911	b1712 // b0912	b3261	b3357	b0720
b3357	b0911	b1712 // b0912	b3261	b3357	b4471
b3357	b0911	b1712 // b0912	b3261	b3357	b3113
b3357	b0911	b1712 // b0912	b3261	b3357	b3114
b3357	b0911	b1712 // b0912	b3261	b3357	b3115
b3357	b0911	b1712 // b0912	b3261	b3357	b3116
b3357	b0911	b1712 // b0912	b3261	b3357	b3117
b3357	b0911	b1712 // b0912	b3261	b3357	b3118
b3357	b0911	b1712 // b0912	b3261	b3357	b1891
b3357	b0911	b1712 // b0912	b3261	b3357	b1892
b3357	b0911	b1712 // b0912	b3261	b3357	b3908
b3357	b0911	b1712 // b0912	b3261	b3357	b3461
b3357	b0911	b1712 // b0912	b3261	b3357	b4376
b3357	b0911	b1712 // b0912	b3261	b3357	b1037
b3357	b0911	b1712 // b0912	b3261	b3357	b1038
b3357	b0911	b1712 // b0912	b3261	b3357	b1039
b3357	b0911	b1712 // b0912	b3261	b3357	b1040
b3357	b0911	b1712 // b0912	b3261	b3357	b3212
b3357	b0911	b1712 // b0912	b3261	b3357	b3213
b3357	b0911	b1712 // b0912	b3261	b3357	b3214
b3357	b0911	b1712 // b0912	b3261	b3357	b0903
b3357	b0911	b1712 // b0912	b3261	b3357	b0904
b3357	b0911	b1712 // b0912	b3261	b3357	b3404
b3357	b0911	b1712 // b0912	b3261	b3357	b3405
b3357	b0911	b1712 // b0912	b3261	b3357	b1387
b3357	b0911	b1712 // b0912	b3261	b3357	b1398
b3357	b0911	b1712 // b0912	b3261	b3357	b1397
b3357	b0911	b1712 // b0912	b3261	b3357	b1396
b3357	b0911	b1712 // b0912	b3261	b3357	b1395
b3357	b0911	b1712 // b0912	b3261	b3357	b1394
b3357	b0911	b1712 // b0912	b3261	b3357	b1393
b3357	b0911	b1712 // b0912	b3261	b3357	b1392
b3357	b0911	b1712 // b0912	b3261	b3357	b1391
b3357	b0911	b1712 // b0912	b3261	b3357	b1390
b3357	b0911	b1712 // b0912	b3261	b3357	b1389
b3357	b0911	b1712 // b0912	b3261	b3357	b1388
b3357	b0911	b1712 // b0912	b3261	b3357	b0553
b3357	b0911	b1712 // b0912	b3261	b3357	b3574
b3357	b0911	b1712 // b0912	b3261	b3357	b3577
b3357	b0911	b1712 // b0912	b3261	b3357	b3583
b3357	b0911	b1712 // b0912	b3261	b3357	b3582
b3357	b0911	b1712 // b0912	b3261	b3357	b3581
b3357	b0911	b1712 // b0912	b3261	b3357	b3580
b3357	b0911	b1712 // b0912	b3261	b3357	b3579
b3357	b0911	b1712 // b0912	b3261	b3357	b3578
b3357	b0911	b1712 // b0912	b3261	b3357	b3576
b3357	b0911	b1712 // b0912	b3261	b3357	b3575
b3357	b0911	b1712 // b0912	b3261	b3357	b4014
b3357	b0911	b1712 // b0912	b3261	b3357	b4015
b3357	b0911	b1712 // b0912	b3261	b3357	b4016
b3357	b0911	b1712 // b0912	b3261	b3357	b2239
b3357	b0911	b1712 // b0912	b3261	b3357	b2240
b3357	b0911	b1712 // b0912	b3261	b3357	b3260
b3357	b0911	b1712 // b0912	b3261	b3357	b0929
b3357	b0911	b1712 // b0912	b3261	b3357	b3365
b3357	b0911	b1712 // b0912	b3261	b3357	b3366
b3357	b0911	b1712 // b0912	b3261	b3357	b3367
b3357	b0911	b1712 // b0912	b3261	b3357	b3368
