Cause	Effect
EG10958	EG11124
EG10359	EG11124
G0-8866	EG11124
G0-8880	EG11124
EG10643	EG11124
EG10164	EG11124
EG10061	EG11124
EG10325	EG11124
EG10958	EG11689
EG10958	G7667
EG10957	G7667
EG10731	G7667
EG11615	G7667
EG10958	G6247
EG11434	G6247
G6247	EG12754
G6247	G7622
EG10958	EG10035
EG11366	EG10035
EG11434	EG10035
EG10164	EG10035
EG10235	EG10035
EG10325	EG10035
EG10061	EG10035
EG10958	G7654
EG11366	G7654
EG11434	G7654
EG10958	EG12656
EG11366	EG12656
EG11434	EG12656
EG10958	EG10570
EG11366	EG10570
EG11434	EG10570
G7072	EG10570
EG10958	EG11411
EG11366	EG11411
EG11434	EG11411
EG10325	EG11411
EG10359	EG11411
EG10958	EG10207
EG11366	EG10207
EG11434	EG10207
EG10490	EG10207
EG10958	G6700
G7072	G6700
EG10958	G6701
EG10958	G6396
EG11366	G6396
EG11434	G6396
EG10547	G6396
EG10958	EG11366
EG10672	EG11366
EG11366	EG11366
EG11434	EG11366
EG11366	EG12315
EG11366	G6742
EG10547	G6742
EG11366	G6423
EG10164	G6423
EG10087	G6423
EG10547	G6423
EG11366	EG12136
EG11618	EG12136
EG10020	EG12136
EG11366	EG10638
G6864	EG10638
EG10440	EG10638
EG10441	EG10638
EG10643	EG10638
EG10325	EG10638
EG10317	EG10638
EG11366	EG11381
EG10164	EG11381
EG11447	EG11381
EG11366	EG12403
EG12386	EG12403
EG11366	EG11943
EG10164	EG11943
EG10317	EG11943
EG10440	EG11943
EG10441	EG11943
EG11366	G7647
EG11366	EG12624
EG10547	EG12624
EG11366	EG10280
EG10164	EG10280
EG10731	EG10280
EG10547	EG10280
G0-8880	EG10280
EG10672	EG10280
EG10281	EG10280
EG10061	EG10280
EG11366	EG11530
EG10164	EG11530
EG10281	EG11530
EG10061	EG11530
EG11366	EG10278
EG10317	EG10278
EG10281	EG10278
EG10061	EG10278
EG11366	EG10279
EG10317	EG10279
EG10281	EG10279
EG10061	EG10279
EG11366	G7173
EG10681	G7173
EG11366	G6944
EG10385	G6944
EG10070	G6944
EG10547	G6944
EG11366	EG11942
EG10164	EG11942
EG10317	EG11942
EG10440	EG11942
EG10441	EG11942
EG11366	EG11448
EG10164	EG11448
EG10317	EG11448
EG10440	EG11448
EG10441	EG11448
EG11366	EG10035
EG10958	EG10035
EG11434	EG10035
EG10164	EG10035
EG10235	EG10035
EG10325	EG10035
EG10061	EG10035
EG11366	G7654
EG10958	G7654
EG11434	G7654
EG11366	EG12656
EG10958	EG12656
EG11434	EG12656
EG11366	EG10570
EG10958	EG10570
EG11434	EG10570
G7072	EG10570
EG11366	EG11411
EG10958	EG11411
EG11434	EG11411
EG10325	EG11411
EG10359	EG11411
EG11366	EG10207
EG10958	EG10207
EG11434	EG10207
EG10490	EG10207
EG11366	G6396
EG10958	G6396
EG11434	G6396
EG10547	G6396
EG11366	EG11366
EG10672	EG11366
EG10958	EG11366
EG11434	EG11366
EG11366	EG10358
EG10958	EG10358
EG11434	EG10358
EG10957	EG10358
EG10359	EG10358
EG10325	EG10358
EG10061	EG10358
EG10164	EG10358
EG11366	EG50005
EG10958	EG50005
EG11434	EG50005
EG11366	EG11325
EG11434	EG11325
EG10958	EG11325
EG10164	EG11325
EG10338	EG11325
EG10061	EG11325
EG10325	EG11325
EG11366	G6447
EG11434	G6447
EG10958	G6447
EG10681	G6447
EG10547	G6447
EG11366	EG10852
EG11434	EG10852
EG10958	EG10852
EG10681	EG10852
EG11366	EG11261
EG11434	EG11261
EG10958	EG11261
EG10681	EG11261
G0-10699	EG11261
EG11366	EG12842
EG11434	EG12842
EG10958	EG12842
EG10681	EG12842
EG11366	EG11165
EG10958	EG11165
EG11434	EG11165
EG10731	EG11165
EG11366	EG11164
EG10958	EG11164
EG11434	EG11164
EG10731	EG11164
EG11366	EG11009
EG10958	EG11009
EG11434	EG11009
EG10731	EG11009
EG10672	EG11009
G0-8883	EG11009
EG11366	EG10090
EG10821	EG10090
EG11544	EG10090
EG11366	EG11373
EG11366	G6422
EG10164	G6422
EG11366	EG11422
EG11434	EG11422
EG10958	EG11422
G0-8867	EG11422
EG12386	EG11422
EG11366	EG11221
EG10958	EG11221
EG11434	EG11221
EG10325	EG11221
EG10359	EG11221
EG10338	EG11221
EG11366	EG11435
EG10020	EG11435
EG11434	EG11435
EG10958	EG11435
EG10317	EG11435
EG10164	EG11435
G7072	EG11435
EG12116	EG11435
EG10338	EG11435
EG11435	EG11435
EG11366	EG11434
EG10020	EG11434
EG11434	EG11434
EG10958	EG11434
EG10317	EG11434
EG10164	EG11434
EG12116	EG11434
EG10338	EG11434
EG11435	EG11434
G0-10677	EG11434
G0-8872	EG11434
EG11366	EG11599
EG10020	EG11599
EG11434	EG11599
EG10958	EG11599
EG10317	EG11599
EG10164	EG11599
EG12116	EG11599
EG10338	EG11599
EG11435	EG11599
EG11366	EG10953
EG10957	EG10953
EG10958	EG10953
EG11434	EG10953
EG10164	EG10953
G0-8872	EG10953
G0-10677	EG10953
EG10440	EG10953
EG10441	EG10953
EG10359	EG10953
EG10325	EG10953
EG10061	EG10953
EG11366	EG30063
EG11434	EG30063
EG10958	EG30063
EG10466	EG30063
EG10467	EG30063
EG10672	EG30063
EG10061	EG30063
EG12116	EG30063
EG10547	EG30063
EG10457	EG30063
EG10440	EG30063
EG10441	EG30063
EG11366	EG10651
EG10958	EG10651
EG11434	EG10651
EG11366	EG11703
EG11434	EG11703
EG10958	EG11703
EG10603	EG11703
EG11741	EG11703
EG12116	EG11703
EG10731	EG11703
EG11366	EG11704
EG11434	EG11704
EG10958	EG11704
EG10603	EG11704
EG11741	EG11704
EG12116	EG11704
EG10731	EG11704
EG10958	EG50005
EG11366	EG50005
EG11434	EG50005
EG10958	EG11325
EG11366	EG11325
EG11434	EG11325
EG10164	EG11325
EG10338	EG11325
EG10061	EG11325
EG10325	EG11325
EG10958	EG11426
EG11434	EG11426
EG10958	EG11425
EG11434	EG11425
EG10958	EG11165
EG11366	EG11165
EG11434	EG11165
EG10731	EG11165
EG10958	EG11164
