Cause	Effect	Regulators	Mediators
b0683	b4060		b4063
b0683	b3908	b4451 // b4062 // b3357	b4063
b0683	b3207	b4062	b4063
b0683	b2600		b4063
b0683	b2601		b4063
b0683	b4062		b4063
b0683	b1611	b4062 // b3357	b4063
b0683	b1256	b3357	b4062
b0683	b3662		b4062
b0683	b3207		b4062
b0683	b0447		b4062
b0683	b1415	b3357	b4062
b0683	b3160		b4062
b0683	b3028		b4062
b0683	b0168		b4062
b0683	b0167		b4062
b0683	b0166		b4062
b0683	b1377		b4062
b0683	b1378		b4062
b0683	b0762		b4062
b0683	b4396		b4062
b0683	b0578		b4062
b0683	b1276	b3357	b4062
b0683	b3624		b4062
b0683	b3625		b4062
b0683	b3038		b4062
b0683	b3037		b4062
b0683	b3035		b4062
b0683	b4025		b4062
b0683	b1101	b3357	b4062
b0683	b1973	b3961	b4062
b0683	b0684		b4062
b0683	b4637	b4451 // b3961	b4062
b0683	b0853	b3961	b4062
b0683	b0852	b3961	b4062
b0683	b0851	b3961	b4062
b0683	b0850	b3961	b4062
b0683	b2237		b4062
b0683	b2895		b4062
b0683	b1277		b4062
b0683	b1852		b4062
b0683	b1530	b3357	b4062
b0683	b1531	b4451 // b3357	b4062
b0683	b1532	b3357	b4062
b0683	b1611	b3357	b4062
b0683	b3908	b4451 // b3357	b4062
b0683	b4439		b4062
b0683	b2159		b4062
b0683	b3924		b4062
b0683	b0952		b4062
b0683	b0951		b4062
b0683	b0950		b4062
b0683	b0871	b3961	b4062
b0683	b0463		b4062
b0683	b0462		b4062
b0683	b1857	b3961	b1988
b0683	b4222		b1988
b0683	b4217		b1988
b0683	b4216		b1988
b0683	b4206		b1988
b0683	b2848		b1988
b0683	b2846		b1988
b0683	b2875		b1988
b0683	b4539		b1988
b0683	b1824		b1988
b0683	b1843		b1988
b0683	b1841		b1988
b0683	b1760		b1988
b0683	b1758		b1988
b0683	b1727		b1988
b0683	b1726		b1988
b0683	b1593	b3357	b1988
b0683	b1589		b1988
b0683	b1588		b1988
b0683	b1587		b1988
b0683	b1586		b1988
b0683	b1583		b1988
b0683	b4599		b1988
b0683	b1527		b1988
b0683	b1365		b1988
b0683	b0310		b1988
b0683	b0306		b1988
b0683	b4299	b3357	b1988
b0683	b4248		b1988
b0683	b4204		b1988
b0683	b4156		b1988
b0683	b4061		b1988
b0683	b4060		b1988
b0683	b4056		b1988
b0683	b4020		b1988
b0683	b3890		b1988
b0683	b3889		b1988
b0683	b3878		b1988
b0683	b3876		b1988
b0683	b3872		b1988
b0683	b3858		b1988
b0683	b3826		b1988
b0683	b3820		b1988
b0683	b3765		b1988
b0683	b3755		b1988
b0683	b3712		b1988
b0683	b3688		b1988
b0683	b3657		b1988
b0683	b3442		b1988
b0683	b3383		b1988
b0683	b3216		b1988
b0683	b3215		b1988
b0683	b3158		b1988
b0683	b3157		b1988
b0683	b3120		b1988
b0683	b3027		b1988
b0683	b3055		b1988
b0683	b3043		b1988
b0683	b3054		b1988
b0683	b2985		b1988
b0683	b4465		b1988
b0683	b2824		b1988
b0683	b2768		b1988
b0683	b2767		b1988
b0683	b2776		b1988
b0683	b2682		b1988
b0683	b2667		b1988
b0683	b2668		b1988
b0683	b2672		b1988
b0683	b2671		b1988
b0683	b2628		b1988
b0683	b2603		b1988
b0683	b2602		b1988
b0683	b2562		b1988
b0683	b2505		b1988
b0683	b2504		b1988
b0683	b2503		b1988
b0683	b2420		b1988
b0683	b2419		b1988
b0683	b2333		b1988
b0683	b2332		b1988
b0683	b2236	b3357	b1988
b0683	b2188		b1988
b0683	b2181		b1988
b0683	b2178		b1988
b0683	b2085		b1988
b0683	b2073		b1988
b0683	b2063		b1988
b0683	b1969		b1988
b0683	b1915		b1988
b0683	b1868		b1988
b0683	b1867		b1988
b0683	b1707		b1988
b0683	b1696		b1988
b0683	b1695		b1988
b0683	b1692		b1988
b0683	b1555		b1988
b0683	b1544		b1988
b0683	b1502		b1988
b0683	b1501		b1988
b0683	b1447		b1988
b0683	b1422		b1988
b0683	b1359		b1988
