Cause	Effect
EG10672	EG10133
EG12008	EG10133
EG10133	EG10133
EG10325	EG10133
EG12386	EG10133
EG10457	EG10133
EG10531	EG10133
EG10133	EG10131
EG10547	EG10131
EG12243	EG10131
EG10821	EG10131
EG11544	EG10131
EG10672	EG10131
EG10061	EG10131
EG10457	EG10131
EG10133	EG10132
EG10547	EG10132
EG12243	EG10132
EG10821	EG10132
EG11544	EG10132
EG10672	EG10132
EG10061	EG10132
EG10457	EG10132
EG10133	EG10133
EG12008	EG10133
EG10325	EG10133
EG12386	EG10133
EG10672	EG10133
EG10457	EG10133
EG10531	EG10133
EG10672	EG10131
EG10547	EG10131
EG10133	EG10131
EG12243	EG10131
EG10821	EG10131
EG11544	EG10131
EG10061	EG10131
EG10457	EG10131
EG10672	EG10132
EG10547	EG10132
EG10133	EG10132
EG12243	EG10132
EG10821	EG10132
EG11544	EG10132
EG10061	EG10132
EG10457	EG10132
EG10672	G0-17074
EG10672	EG10753
EG10672	EG10964
EG10672	EG12933
EG10325	EG12933
EG10359	EG12933
EG10636	EG12933
EG10672	EG12101
EG10325	EG12101
EG10359	EG12101
EG10061	EG12101
EG10636	EG12101
EG10672	EG12102
EG10325	EG12102
EG10359	EG12102
EG10636	EG12102
EG10672	EG11262
EG11212	EG11262
EG10672	EG11009
EG11366	EG11009
EG10958	EG11009
EG11434	EG11009
EG10731	EG11009
G0-8883	EG11009
EG10672	EG12732
EG10061	EG12732
G0-8867	EG12732
EG10547	EG12732
EG10672	EG11366
EG10958	EG11366
EG11366	EG11366
EG11434	EG11366
EG11366	EG12315
EG11366	G6742
EG10547	G6742
EG11366	G6423
EG10164	G6423
EG10087	G6423
EG10547	G6423
EG11366	EG12136
EG11618	EG12136
EG10020	EG12136
EG11366	EG10638
G6864	EG10638
EG10440	EG10638
EG10441	EG10638
EG10643	EG10638
EG10325	EG10638
EG10317	EG10638
EG11366	EG11381
EG10164	EG11381
EG11447	EG11381
EG11366	EG12403
EG12386	EG12403
EG11366	EG11943
EG10164	EG11943
EG10317	EG11943
EG10440	EG11943
EG10441	EG11943
EG11366	G7647
EG11366	EG12624
EG10547	EG12624
