Cause	Effect
EG10800	EG11809
EG10547	EG11809
EG10800	EG10790
EG11544	EG10790
EG11434	EG10790
EG10800	EG10134
EG10317	EG10134
EG12301	EG10134
EG10061	EG10134
EG10440	EG10134
EG10441	EG10134
EG10694	EG10134
EG10070	EG10134
EG10800	EG10135
EG10317	EG10135
EG12301	EG10135
EG10070	EG10135
EG10440	EG10135
EG10441	EG10135
EG10694	EG10135
EG10800	EG10420
EG10164	EG10420
EG10317	EG10420
EG10235	EG10420
EG10800	EG10421
EG10164	EG10421
EG10317	EG10421
EG10235	EG10421
EG10800	EG10960
EG10800	EG10959
EG10800	EG10774
EG10800	EG10408
EG10591	EG10408
EG10800	EG10798
EG10325	EG10798
EG10547	EG10798
EG10800	EG10799
EG10325	EG10799
EG10800	EG11810
EG10164	EG11810
EG10547	EG11810
EG10325	EG11810
EG11795	EG11810
EG10800	EG10371
EG10164	EG10371
EG10547	EG10371
EG10325	EG10371
EG11795	EG10371
EG10800	EG11442
EG10164	EG11442
EG10325	EG11442
EG11795	EG11442
EG10547	EG11442
G7072	EG11442
EG10800	EG11327
G7072	EG11327
EG10800	EG11326
G7072	EG11326
EG10800	EG10800
G0-9941	EG10800
EG10359	EG10800
EG10800	EG11809
EG10547	EG11809
EG10800	EG10790
EG11544	EG10790
EG11434	EG10790
EG10800	EG10134
EG10317	EG10134
EG12301	EG10134
EG10061	EG10134
EG10440	EG10134
EG10441	EG10134
EG10694	EG10134
EG10070	EG10134
EG10800	EG10135
EG10317	EG10135
EG12301	EG10135
EG10070	EG10135
EG10440	EG10135
EG10441	EG10135
EG10694	EG10135
EG10800	EG10420
EG10164	EG10420
EG10317	EG10420
EG10235	EG10420
EG10800	EG10421
EG10164	EG10421
EG10317	EG10421
EG10235	EG10421
EG10800	EG10960
EG10800	EG10959
EG10800	EG10774
EG10800	EG10408
EG10591	EG10408
EG10800	EG10798
EG10325	EG10798
EG10547	EG10798
EG10800	EG10799
EG10325	EG10799
EG10800	EG11810
EG10164	EG11810
EG10547	EG11810
EG10325	EG11810
EG11795	EG11810
EG10800	EG10371
EG10164	EG10371
EG10547	EG10371
EG10325	EG10371
EG11795	EG10371
EG10800	EG11442
EG10164	EG11442
EG10325	EG11442
EG11795	EG11442
EG10547	EG11442
G7072	EG11442
EG10800	EG11327
G7072	EG11327
EG10800	EG11326
G7072	EG11326
EG10800	EG10800
G0-9941	EG10800
EG10359	EG10800
EG10800	EG10384
EG10800	EG10796
EG10800	EG10793
EG10800	EG10807
EG10317	EG10807
EG10800	EG11044
EG10800	EG10794
EG10800	EG10169
EG10070	EG10169
EG10800	EG11314
EG10800	EG11345
EG10800	EG10806
EG10359	EG10806
EG10800	EG10797
EG10800	EG10792
EG10731	EG10792
EG10819	EG10792
EG10800	EG10795
EG10731	EG10795
EG10819	EG10795
EG10800	EG10791
EG10800	EG10384
EG10800	EG10796
EG10800	EG10793
EG10800	EG10807
EG10317	EG10807
EG10800	EG11044
EG10800	EG10794
EG10800	EG10169
EG10070	EG10169
EG10800	EG11314
EG10800	EG11345
EG10800	EG10806
EG10359	EG10806
EG10800	EG10797
EG10800	EG10792
EG10731	EG10792
EG10819	EG10792
EG10800	EG10795
EG10731	EG10795
EG10819	EG10795
EG10800	EG10791
