Cause	Effect
EG10547	EG11969
EG11969	EG12215
EG10547	G6393
EG10547	G7258
EG10547	EG10951
EG10547	G7871
G7072	G7871
EG30098	G7871
EG10547	G7864
G7072	G7864
EG10547	G7465
EG10547	G0-16657
EG10547	G7050
EG10547	G6995
EG10547	G6955
G7072	G6955
EG12386	G6955
EG10547	G6176
G7072	G6176
EG10547	G7931
EG10547	G7853
EG10547	G7833
G7072	G7833
EG10547	EG11936
EG11544	EG11936
EG10547	EG11870
EG10547	EG11684
EG10547	G0-10468
EG10547	EG11964
EG10547	EG12624
EG11366	EG12624
EG10547	EG12262
EG10547	EG12254
EG10547	EG12228
EG10821	EG12228
EG11544	EG12228
EG10457	EG12228
EG10547	EG11184
EG10547	EG12834
EG10385	EG12834
EG10547	G7695
G7072	G7695
EG10547	EG11970
EG10547	G7683
EG10547	EG12794
EG10547	G7574
EG12386	G7574
EG10547	G7573
EG12386	G7573
G7573	G6761
EG10547	EG11152
G7947	EG11152
EG10547	G7152
EG10547	EG11895
EG10547	EG11807
EG10547	G6969
EG10385	G6969
EG10547	G6967
EG11212	G6967
EG12386	G6967
EG10547	G6894
EG10547	G6860
G7072	G6860
EG10547	G6788
EG12243	G6788
EG10054	G6788
EG10636	G6788
EG10547	EG11640
G7072	EG11640
EG10547	G6742
EG11366	G6742
EG10547	G6741
EG12386	G6741
EG10547	G0-10591
G7072	G0-10591
EG10547	G6638
EG10547	EG11342
EG10547	EG11516
G7072	EG11516
EG10547	EG12444
EG10547	EG11117
EG10547	EG11116
EG10547	G6460
G7072	G6460
EG10547	G6447
EG11366	G6447
EG11434	G6447
EG10958	G6447
EG10681	G6447
EG10547	G6423
EG11366	G6423
EG10164	G6423
EG10087	G6423
EG10547	G6417
EG10547	EG12421
EG10547	G6408
EG10547	EG11108
EG10547	G6361
EG10547	G6329
EG10547	G6323
EG10547	G6324
EG10547	G6228
G7072	G6228
EG10547	G6158
G7072	G6158
EG10547	G6098
EG10164	G6098
EG10547	EG12605
G0-8878	EG12605
EG10547	EG12611
EG10547	G6081
EG10547	EG11451
EG11212	EG11451
EG10547	EG11332
EG10325	EG11332
EG10547	EG11370
EG10325	EG11370
EG10440	EG11370
EG10441	EG11370
EG10643	EG11370
EG10061	EG11370
G7072	EG11370
EG10547	EG11032
G7072	EG11032
EG10547	EG11017
EG10547	EG11013
EG10317	EG11013
EG10547	EG11585
EG10061	EG11585
EG10547	EG10984
G6444	EG10984
EG10533	EG10984
EG10547	EG11428
EG10061	EG11428
EG30098	EG11428
EG10547	EG12732
EG10672	EG12732
EG10061	EG12732
G0-8867	EG12732
EG10547	G0-9388
EG10547	EG10958
EG10957	EG10958
G0-10671	EG10958
EG12116	EG10958
EG10359	EG10958
EG10325	EG10958
EG10958	EG10958
EG10958	EG11124
EG10359	EG11124
G0-8866	EG11124
G0-8880	EG11124
EG10643	EG11124
EG10164	EG11124
EG10061	EG11124
EG10325	EG11124
EG10958	EG11689
EG10958	G7667
EG10957	G7667
EG10731	G7667
EG11615	G7667
EG10958	G6247
EG11434	G6247
EG10958	EG10035
EG11366	EG10035
EG11434	EG10035
EG10164	EG10035
EG10235	EG10035
EG10325	EG10035
EG10061	EG10035
EG10958	G7654
EG11366	G7654
EG11434	G7654
EG10958	EG12656
EG11366	EG12656
EG11434	EG12656
EG10958	EG10570
EG11366	EG10570
EG11434	EG10570
G7072	EG10570
EG10958	EG11411
EG11366	EG11411
EG11434	EG11411
EG10325	EG11411
EG10359	EG11411
EG10958	EG10207
EG11366	EG10207
EG11434	EG10207
EG10490	EG10207
EG10958	G6700
G7072	G6700
EG10958	G6701
EG10958	G6396
EG11366	G6396
EG11434	G6396
EG10547	G6396
EG10958	EG11366
EG10672	EG11366
EG11366	EG11366
EG11434	EG11366
EG10958	EG50005
EG11366	EG50005
EG11434	EG50005
EG10958	EG11325
EG11366	EG11325
EG11434	EG11325
EG10164	EG11325
EG10338	EG11325
EG10061	EG11325
EG10325	EG11325
EG10958	EG11426
EG11434	EG11426
EG10958	EG11425
EG11434	EG11425
EG10958	EG11165
EG11366	EG11165
EG11434	EG11165
EG10731	EG11165
EG10958	EG11164
EG11366	EG11164
EG11434	EG11164
EG10731	EG11164
EG10958	EG11009
EG11366	EG11009
EG11434	EG11009
EG10731	EG11009
EG10672	EG11009
G0-8883	EG11009
EG10958	EG10702
EG10958	EG10787
EG10164	EG10787
G0-9941	EG10787
G6852	EG10787
EG10317	EG10787
EG10061	EG10787
EG10958	G7061
EG10681	G7061
EG10359	G7061
EG11929	G7061
EG10958	EG10318
EG10958	G0-10580
EG10681	G0-10580
G0-8872	G0-10580
EG10958	EG10359
EG10164	EG10359
EG10681	EG10359
EG10359	EG10359
G0-8872	EG10359
EG10958	G6447
EG11366	G6447
EG11434	G6447
EG10681	G6447
EG10547	G6447
EG10958	EG10852
EG11366	EG10852
EG11434	EG10852
EG10681	EG10852
EG10958	EG11261
EG11366	EG11261
EG11434	EG11261
EG10681	EG11261
G0-10699	EG11261
EG10958	EG12842
EG11366	EG12842
EG11434	EG12842
EG10681	EG12842
EG10958	EG11422
EG11366	EG11422
EG11434	EG11422
G0-8867	EG11422
EG12386	EG11422
EG10958	EG12697
EG10958	EG11331
EG10958	EG11221
EG11366	EG11221
EG11434	EG11221
EG10325	EG11221
EG10359	EG11221
EG10338	EG11221
EG10958	EG10958
EG10957	EG10958
EG10547	EG10958
G0-10671	EG10958
EG12116	EG10958
EG10359	EG10958
EG10325	EG10958
EG10958	EG11435
EG10020	EG11435
EG11434	EG11435
EG10317	EG11435
EG11366	EG11435
EG10164	EG11435
G7072	EG11435
EG12116	EG11435
EG10338	EG11435
EG11435	EG11435
EG10958	EG11434
EG10020	EG11434
EG11434	EG11434
EG10317	EG11434
EG11366	EG11434
EG10164	EG11434
EG12116	EG11434
EG10338	EG11434
EG11435	EG11434
G0-10677	EG11434
G0-8872	EG11434
EG10958	EG11599
EG10020	EG11599
EG11434	EG11599
EG10317	EG11599
EG11366	EG11599
EG10164	EG11599
EG12116	EG11599
EG10338	EG11599
EG11435	EG11599
EG10958	EG10358
EG11434	EG10358
EG10957	EG10358
EG11366	EG10358
EG10359	EG10358
EG10325	EG10358
EG10061	EG10358
EG10164	EG10358
EG10958	EG10953
EG10957	EG10953
EG11366	EG10953
EG11434	EG10953
EG10164	EG10953
G0-8872	EG10953
G0-10677	EG10953
EG10440	EG10953
EG10441	EG10953
EG10359	EG10953
EG10325	EG10953
EG10061	EG10953
EG10958	EG30063
EG11434	EG30063
EG10466	EG30063
EG10467	EG30063
EG11366	EG30063
EG10672	EG30063
EG10061	EG30063
EG12116	EG30063
EG10547	EG30063
EG10457	EG30063
EG10440	EG30063
EG10441	EG30063
EG10958	EG10651
EG11366	EG10651
EG11434	EG10651
EG10958	EG10628
EG11434	EG10628
EG10958	G6492
EG11434	G6492
EG10958	G6491
EG11434	G6491
EG10958	G6490
EG11434	G6490
EG10958	EG10754
EG10338	EG10754
EG11434	EG10754
EG10681	EG10754
EG10325	EG10754
EG10643	EG10754
EG11527	EG10754
EG11212	EG10754
EG10958	EG11703
EG11434	EG11703
EG11366	EG11703
EG10603	EG11703
EG11741	EG11703
EG12116	EG11703
EG10731	EG11703
EG10958	EG11704
EG11434	EG11704
EG11366	EG11704
EG10603	EG11704
EG11741	EG11704
EG12116	EG11704
EG10731	EG11704
EG10547	EG11664
EG10547	G6882
G6882	G6882
G6882	EG50004
EG10935	EG50004
G6444	EG50004
G6761	EG50004
EG10164	EG50004
EG10061	EG50004
G6882	EG11738
EG10935	EG11738
G6444	EG11738
G6761	EG11738
EG10547	EG11738
EG10061	EG11738
G7072	EG11738
G6882	EG12180
EG10731	EG12180
G6882	EG10531
EG12123	EG10531
G7948	EG10531
EG10821	EG10531
EG10531	EG10531
EG11554	EG10531
EG10457	EG10531
EG10547	EG10531
G7072	EG10531
G6882	EG11359
G7072	EG11359
EG10359	EG11359
EG10457	EG11359
G6882	EG12173
G7072	EG12173
EG10359	EG12173
EG10457	EG12173
G6882	G7711
EG10359	G7711
EG10457	G7711
G6882	G7710
EG10359	G7710
EG10457	G7710
G6882	G7709
EG10359	G7709
EG10457	G7709
G6882	G7708
EG10359	G7708
EG10457	G7708
G6882	G7707
EG10359	G7707
EG10457	G7707
G7072	G7707
G6882	G7706
EG10359	G7706
EG10457	G7706
G7072	G7706
G6882	G7705
EG10359	G7705
EG10457	G7705
G6882	G7704
EG10359	G7704
EG10457	G7704
G6882	G7703
